iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7508,54.730545,278.609985,0.223255,0.238333,0.0,0.0,0.05694,79165.0,0.03683,0.06793,0.048426,0.087691,-0.014546,0.178262,6.84124,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.13825,-0.041205,-0.002911,0.0,0.0,-0.020712,-0.005106,-0.003915,-0.006925,0.232551,-0.011302,-0.028278,-0.00217,-0.00752,0.521081,1.219143,-0.021598,-0.00026,-0.011796,4.541667,0.019859,0.072509,0.118468
7509,59.081825,301.059998,0.242916,0.254016,0.0,0.0,0.056679,78464.0,0.040021,0.071882,0.047418,0.088811,-0.014189,0.186969,6.859968,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.15025,-0.043594,-0.002005,0.0,0.0,-0.020268,-0.005159,-0.003602,-0.007277,0.260234,-0.011612,-0.030451,-0.002597,-0.007699,0.568588,1.333461,-0.020463,-0.000205,-0.012328,4.625,0.020879,0.081622,0.127379
7510,64.166504,326.73999,0.274052,0.277212,0.0,0.0,0.056649,78337.0,0.045853,0.077871,0.05814,0.109705,-0.018381,0.213119,6.863626,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.16225,-0.048496,-0.003886,0.0,0.0,-0.024172,-0.006103,-0.004875,-0.008673,0.273215,-0.013479,-0.032888,-0.002552,-0.007997,0.606618,1.430184,-0.026667,-0.000196,-0.02061,4.75,0.016542,0.074365,0.127355
7511,67.167267,350.410004,0.251902,0.286114,0.0,0.0,0.056432,80346.0,0.057428,0.087342,0.067131,0.137327,-0.022916,0.246993,6.856605,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.174456,-0.052457,-0.005636,0.0,0.0,-0.032521,-0.007079,-0.006138,-0.011447,0.28303,-0.01535,-0.04195,-0.003337,-0.010804,0.634847,1.526129,-0.034139,-0.000258,-0.031774,4.565217,0.02462,0.100876,0.134821
7512,73.009888,373.079987,0.312739,0.311295,0.0,0.0,0.056136,75757.0,0.049468,0.089303,0.064464,0.114556,-0.019553,0.224058,6.794618,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.186391,-0.055191,-0.004301,0.0,0.0,-0.025585,-0.006803,-0.005114,-0.009246,0.312374,-0.014947,-0.037098,-0.002508,-0.00813,0.70179,1.650961,-0.02896,-0.000277,-0.024837,4.434783,0.018725,0.079415,0.125237
7513,77.775726,395.809998,0.31868,0.339708,0.0,0.0,0.056135,77923.0,0.053826,0.094698,0.066826,0.131666,-0.020538,0.258129,6.832945,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.19825,-0.056961,-0.003811,0.0,0.0,-0.028965,-0.00734,-0.00567,-0.010535,0.333402,-0.015552,-0.04195,-0.002829,-0.009724,0.743355,1.757329,-0.031801,-0.000209,-0.028834,4.041667,0.023372,0.083365,0.112033
7514,81.773918,420.980011,0.328495,0.356113,0.0,0.0,0.055986,80610.0,0.059236,0.101978,0.077124,0.138194,-0.022925,0.270334,6.851739,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.209886,-0.059926,-0.004558,0.0,0.0,-0.031496,-0.007774,-0.005966,-0.011286,0.350801,-0.016373,-0.04174,-0.003074,-0.010738,0.782085,1.859752,-0.034181,-0.00043,-0.038186,5.090909,0.02357,0.077244,0.134496
7515,86.967133,444.25,0.377487,0.381468,0.0,0.0,0.055852,80583.0,0.065093,0.106214,0.085701,0.162465,-0.027705,0.306413,6.864333,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.222218,-0.066297,-0.00697,0.0,0.0,-0.037632,-0.008832,-0.007807,-0.01332,0.365991,-0.017958,-0.047037,-0.003263,-0.011299,0.825152,1.965012,-0.041404,-0.000364,-0.046261,4.26087,0.018812,0.079483,0.127795
7516,91.221565,466.98999,0.382122,0.385712,0.0,0.0,0.055741,84252.0,0.066862,0.110197,0.083073,0.158872,-0.026335,0.318264,6.884196,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.234239,-0.073099,-0.004682,0.0,0.0,-0.035844,-0.0087,-0.006853,-0.012546,0.38776,-0.019279,-0.048213,-0.003845,-0.011192,0.872861,2.071497,-0.03954,-0.000311,-0.038342,4.190476,0.024035,0.074545,0.149716
7517,95.628159,491.359985,0.40053,0.410041,0.0,0.0,0.05571,79442.0,0.06763,0.118376,0.082816,0.169936,-0.029233,0.330795,6.873431,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.246251,-0.079964,-0.006806,0.0,0.0,-0.040464,-0.009446,-0.007726,-0.01446,0.409287,-0.019514,-0.049658,-0.003824,-0.013436,0.917473,2.18139,-0.043687,-0.000375,-0.052453,3.708333,0.022406,0.094377,0.125135
