iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
40,31.961857,916.679993,0.537656,0.565365,0.333333,0.0,0.770144,78922.0,0.470624,1.385223,0.12039,0.452393,-0.132374,0.241285,8.03635
41,30.777729,932.299988,0.542925,0.568403,0.173913,0.0,0.76699,77326.0,0.460196,1.393567,0.114548,0.409713,-0.12095,0.274301,8.072214
42,37.171665,972.960022,0.616398,0.64009,0.25,0.0,0.763687,74275.0,0.481002,1.465629,0.120749,0.447801,-0.129812,0.285419,8.128777
43,38.064896,1000.0,0.618988,0.647345,0.166667,0.0,0.760557,74492.0,0.497292,1.503343,0.125331,0.478033,-0.138352,0.281577,8.162384
44,37.260086,999.179993,0.602468,0.634713,0.125,0.0,0.756526,74955.0,0.497277,1.496164,0.128445,0.489355,-0.142099,0.280807,8.170424
45,40.408836,999.549988,0.597057,0.63686,0.083333,0.0,0.751117,73256.0,0.486196,1.489756,0.126885,0.47683,-0.137518,0.293092,8.194256
46,39.434757,1000.0,0.593815,0.62983,0.125,0.0,0.749517,75902.0,0.479782,1.460916,0.127102,0.463615,-0.134425,0.301467,8.199516
47,39.773552,991.22998,0.578596,0.623524,0.125,0.0,0.74689,75951.0,0.47447,1.450327,0.125499,0.470121,-0.134675,0.292484,8.22167
48,41.198776,1000.0,0.629212,0.656205,0.0,0.0,0.744734,75251.0,0.466748,1.490724,0.128073,0.464231,-0.134034,0.312113,8.222807
49,42.994759,1000.0,0.645338,0.667442,0.083333,0.0,0.742318,75534.0,0.457488,1.484022,0.125947,0.461834,-0.134086,0.304638,8.207485
50,43.05167,991.390015,0.639503,0.669097,0.125,0.0,0.738967,69531.0,0.45257,1.479268,0.125551,0.46314,-0.132821,0.3125,8.221031
51,43.894463,1000.0,0.673219,0.703236,0.041667,0.0,0.736588,63067.0,0.444408,1.502782,0.124818,0.46427,-0.132908,0.325253,8.237497
52,45.591389,984.75,0.671551,0.69159,0.083333,0.0,0.734881,47117.0,0.437532,1.484105,0.122001,0.468174,-0.135249,0.320813,8.22998
53,46.782909,991.150024,0.70214,0.717516,0.041667,0.0,0.73205,46746.0,0.432548,1.500538,0.123776,0.470991,-0.136775,0.343766,8.249563
54,47.095417,970.039978,0.71219,0.731697,0.208333,0.0,0.729505,44432.0,0.409208,1.501544,0.116046,0.428318,-0.121772,0.339616,8.221786
55,49.554749,970.52002,0.696948,0.718584,0.166667,0.0,0.72657,16747.0,0.410179,1.474854,0.121684,0.459063,-0.129076,0.373968,8.241556
56,47.981102,987.549988,0.703818,0.738459,0.086957,0.0,0.723498,47040.0,0.406953,1.4768,0.121896,0.450317,-0.123204,0.358148,8.203088
57,48.832325,976.219971,0.70556,0.740472,0.166667,0.0,0.721246,47492.0,0.406409,1.475971,0.121985,0.454449,-0.124456,0.349157,8.221924
58,53.847351,971.780029,0.758552,0.784931,0.086957,0.0,0.718551,48567.0,0.385866,1.524154,0.116471,0.450353,-0.123325,0.402093,8.218805
59,51.35043,979.039978,0.769195,0.786614,0.130435,0.0,0.716001,45840.0,0.391369,1.536352,0.112829,0.465895,-0.129738,0.35557,8.238703
60,53.85622,1000.0,0.796378,0.804258,0.0,0.0,0.71472,39685.0,0.398293,1.548021,0.120922,0.467966,-0.132267,0.3876,8.235588
61,55.07172,985.809998,0.758486,0.782881,0.086957,0.0,0.712908,76019.0,0.37323,1.483467,0.118027,0.429495,-0.1184,0.399816,8.275484
62,56.731331,985.809998,0.834477,0.855149,0.0,0.0,0.710672,72643.0,0.376954,1.574691,0.116424,0.454965,-0.127202,0.395198,8.258425
63,57.149517,996.77002,0.817932,0.843439,0.052632,0.0,0.709151,79653.0,0.379477,1.549743,0.122072,0.485734,-0.130409,0.422359,8.267091
64,56.769138,991.549988,0.829972,0.853178,0.043478,0.0,0.707262,69541.0,0.371945,1.547203,0.119032,0.470883,-0.127028,0.414802,8.240683
65,58.138748,994.400024,0.846992,0.869461,0.043478,0.0,0.705051,70927.0,0.365238,1.560778,0.114884,0.465087,-0.125488,0.4319,8.247629
66,58.385799,984.859985,0.853777,0.873819,0.086957,0.0,0.702784,74903.0,0.354802,1.573009,0.115663,0.436228,-0.118741,0.45287,8.272003
67,57.154598,990.460022,0.865157,0.886921,0.0,0.0,0.701174,78439.0,0.364005,1.568128,0.121937,0.473397,-0.127277,0.42573,8.263487
68,59.74548,1000.0,0.876605,0.89841,0.0,0.0,0.699375,71013.0,0.35565,1.57374,0.118739,0.47348,-0.126861,0.481287,8.290548
69,59.899208,984.869995,0.865451,0.885661,0.086957,0.0,0.697748,66216.0,0.340871,1.536746,0.112944,0.46107,-0.121925,0.42658,8.255595
70,59.360897,994.219971,0.895683,0.913924,0.0,0.0,0.69563,65027.0,0.343705,1.598161,0.11675,0.463587,-0.123573,0.435756,8.252406
71,60.467079,991.950012,0.890053,0.908189,0.045455,0.0,0.693106,70481.0,0.341064,1.548865,0.114101,0.458869,-0.122672,0.49967,8.274967
72,64.216576,988.070007,0.885558,0.900053,0.043478,0.0,0.690501,68225.0,0.338623,1.600967,0.112581,0.431942,-0.114983,0.478925,8.24228
73,63.769806,996.380005,0.899962,0.924037,0.047619,0.0,0.688914,72120.0,0.335449,1.5844,0.11639,0.470219,-0.124606,0.507358,8.253654
74,62.799953,1000.0,0.908434,0.923929,0.0,0.0,0.686907,66500.0,0.328478,1.603438,0.111653,0.465076,-0.124319,0.438688,8.230038
75,63.473789,997.369995,0.917056,0.938648,0.043478,0.0,0.685836,67949.0,0.320954,1.584044,0.112084,0.458425,-0.120963,0.460166,8.245213
76,64.172073,993.25,0.90896,0.925043,0.1,0.0,0.68409,79413.0,0.320985,1.575616,0.119117,0.453758,-0.119581,0.497981,8.250574
77,62.961971,998.0,0.920162,0.943798,0.0,0.0,0.683519,73319.0,0.320696,1.592813,0.115418,0.482209,-0.127996,0.482833,8.243078
78,60.418007,985.869995,0.897104,0.91661,0.130435,0.0,0.682163,73438.0,0.311718,1.549834,0.112506,0.453072,-0.119719,0.44585,8.253074
79,64.658997,1000.0,0.927638,0.946591,0.0,0.0,0.680937,73459.0,0.314067,1.581314,0.111134,0.413051,-0.108196,0.500341,8.23185
80,65.095543,984.23999,0.914435,0.935836,0.086957,0.0,0.679906,69701.0,0.310806,1.543682,0.112907,0.439809,-0.115649,0.503522,8.291629
81,67.200333,991.030029,0.927625,0.951423,0.0,0.0,0.679454,77670.0,0.311856,1.568402,0.116331,0.449683,-0.118039,0.516163,8.267735
