iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
75,78.577141,992.030029,1.938968,-0.006746,0.047619,0.0,0.474099,56912.0
76,78.997299,992.030029,1.948858,-0.009989,0.0,0.0,0.467388,64066.0
77,79.506813,995.789978,1.954872,-0.007188,0.0,0.0,0.464088,61861.0
78,80.239502,1000.0,1.963388,-0.005871,0.0,0.0,0.455334,62948.0
79,80.346375,1000.0,1.952437,-0.009755,0.0,0.0,0.448856,55791.0
80,80.668312,1000.0,1.963964,-0.00566,0.0,0.0,0.44367,56129.0
81,80.860733,1000.0,1.964395,-0.005403,0.0,0.0,0.437238,63455.0
82,81.298599,1000.0,1.965484,-0.005099,0.0,0.0,0.430483,63843.0
83,81.583961,1000.0,1.967028,-0.005086,0.0,0.0,0.426108,60733.0
84,82.324097,1000.0,1.968848,-0.004867,0.0,0.0,0.421858,51261.0
85,82.515556,1000.0,1.969609,-0.004901,0.0,0.0,0.4191,46029.0
86,82.756241,999.590027,1.970042,-0.004919,0.043478,0.0,0.411593,58496.0
87,82.860077,998.640015,1.969227,-0.004684,0.041667,0.0,0.40951,56461.0
88,83.357399,1000.0,1.971137,-0.00495,0.0,0.0,0.402668,55992.0
89,83.535774,1000.0,1.972234,-0.004463,0.0,0.0,0.398942,56471.0
90,83.827606,1000.0,1.973476,-0.004341,0.0,0.0,0.395005,56718.0
91,84.010475,1000.0,1.973871,-0.004055,0.0,0.0,0.390152,48932.0
92,84.201828,1000.0,1.973497,-0.004178,0.0,0.0,0.386502,41283.0
93,84.306877,1000.0,1.974801,-0.003946,0.0,0.0,0.384942,33989.0
94,83.633179,990.73999,1.964329,-0.005418,0.041667,0.0,0.377902,33880.0
95,84.836937,1000.0,1.975844,-0.004772,0.0,0.0,0.373453,33947.0
96,85.138611,1000.0,1.976431,-0.003989,0.0,0.0,0.369067,34120.0
97,85.325432,1000.0,1.977458,-0.00369,0.0,0.0,0.36449,35799.0
98,85.486671,1000.0,1.978785,-0.003725,0.0,0.0,0.360065,36403.0
99,85.840645,1000.0,1.979376,-0.003496,0.0,0.0,0.35493,38612.0
100,85.918655,1000.0,1.980059,-0.003308,0.0,0.0,0.350571,54645.0
101,86.166473,1000.0,1.979475,-0.003461,0.0,0.0,0.344981,56965.0
102,86.250633,1000.0,1.979781,-0.003861,0.0,0.0,0.340293,56394.0
103,86.512169,1000.0,1.981758,-0.003153,0.0,0.0,0.333759,55736.0
104,86.790146,1000.0,1.980174,-0.00343,0.0,0.0,0.330718,59718.0
105,86.828117,1000.0,1.981827,-0.003229,0.0,0.0,0.326975,59648.0
106,86.760246,997.109985,1.969453,-0.004187,0.05,0.0,0.327061,58814.0
107,86.912247,997.109985,1.979798,-0.004346,0.0,0.0,0.321958,63060.0
108,87.092056,997.109985,1.983182,-0.00292,0.0,0.0,0.315686,60821.0
