iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
0,0.493876,15.38,0.01101,0.010782,0.916667,0.0,0.988732,26387.0,0.007273,0.019977,0.001033,0.005534,-0.001567,0.002381,8.487957
1,1.165799,44.200001,0.028649,0.025077,9.625,0.0,0.97984,43108.0,0.022985,0.06675,0.006015,0.019099,-0.005392,0.012482,8.339277
2,2.173387,67.339996,0.047331,0.043634,12.875,0.0,0.975291,40172.0,0.036675,0.104952,0.008941,0.029994,-0.008327,0.018863,8.28793
3,3.105856,87.550003,0.062644,0.05933,13.958334,0.0,0.968423,43191.0,0.048532,0.142925,0.011549,0.040993,-0.011002,0.025803,8.28126
4,3.573764,100.809998,0.075841,0.072071,15.0,0.0,0.960842,42410.0,0.058926,0.172146,0.013932,0.050168,-0.013622,0.029164,8.233997
5,4.618546,122.650002,0.092153,0.089422,11.791667,0.0,0.953585,40258.0,0.072518,0.204396,0.015747,0.062651,-0.016773,0.031302,8.226333
6,4.656963,122.370003,0.094308,0.089681,10.916667,0.0,0.946489,43024.0,0.071756,0.212099,0.017078,0.060856,-0.016729,0.037903,8.152515
7,5.348959,141.089996,0.108207,0.10573,10.666667,0.0,0.937319,43386.0,0.082221,0.245819,0.018955,0.067504,-0.01831,0.043942,8.121151
8,5.97353,155.25,0.117693,0.112721,7.958333,0.0,0.931583,42029.0,0.090313,0.267304,0.020744,0.078256,-0.021598,0.04431,8.074503
9,6.959975,176.100006,0.135601,0.131427,6.458333,0.0,0.925112,43272.0,0.102588,0.305824,0.024393,0.086041,-0.02365,0.053407,8.062098
10,7.634346,190.330002,0.145481,0.14025,5.5,0.0,0.918738,37682.0,0.109472,0.331581,0.026206,0.090966,-0.025957,0.055595,8.066202
11,7.275238,180.610001,0.143637,0.137172,4.083333,0.0,0.91485,41128.0,0.107422,0.32743,0.026401,0.094692,-0.027218,0.058795,8.056385
12,8.305428,211.850006,0.172606,0.166845,3.333333,0.0,0.90927,35690.0,0.131752,0.382336,0.028841,0.108331,-0.03014,0.061625,8.022926
13,9.661325,249.630005,0.181639,0.182163,2.125,0.0,0.904294,31164.0,0.149006,0.433168,0.03286,0.123791,-0.034433,0.07582,8.019535
14,10.292488,265.190002,0.19523,0.193001,2.761905,0.0,0.898007,32524.0,0.147979,0.446747,0.034209,0.12157,-0.034482,0.07846,7.976295
15,11.843282,292.26001,0.222613,0.217945,2.142857,0.0,0.892902,32067.0,0.171901,0.502501,0.039079,0.144557,-0.040846,0.086617,7.975097
16,12.483127,315.0,0.236671,0.23454,2.285714,0.0,0.887875,33851.0,0.18636,0.534182,0.041646,0.149146,-0.042043,0.094056,7.967384
17,12.623991,319.130005,0.23406,0.236822,1.454545,0.0,0.883211,31221.0,0.176901,0.552874,0.040331,0.147941,-0.040695,0.099023,7.912791
18,14.156625,348.839996,0.257192,0.25944,1.318182,0.0,0.87679,32468.0,0.199608,0.606335,0.046857,0.171313,-0.048791,0.113699,7.886192
19,15.006799,384.630005,0.287693,0.293367,1.0,0.0,0.869718,32011.0,0.236026,0.685202,0.047405,0.199925,-0.055204,0.106413,7.825199
20,15.880195,401.529999,0.287909,0.289289,0.944444,0.0,0.863913,35922.0,0.228336,0.676361,0.053893,0.196163,-0.055627,0.127355,7.833065
21,17.075399,424.839996,0.286026,0.296451,1.142857,0.0,0.858136,31456.0,0.221982,0.703321,0.050753,0.172235,-0.049727,0.1419,7.81989
22,18.120716,463.329987,0.344843,0.367413,0.714286,0.0,0.852532,31850.0,0.283521,0.825458,0.058924,0.243441,-0.065285,0.134956,7.773931
23,19.113913,482.399994,0.346876,0.34519,0.941176,0.0,0.846753,35581.0,0.26217,0.782164,0.057563,0.226694,-0.062487,0.119006,7.766329
24,19.198296,484.329987,0.311521,0.320149,0.692308,0.0,0.842958,35533.0,0.280219,0.821655,0.06325,0.264595,-0.075052,0.149883,7.769617
25,19.217876,487.25,0.32609,0.350022,0.466667,0.0,0.838525,46026.0,0.318841,0.87099,0.06885,0.301917,-0.085173,0.135947,7.754422
26,20.049456,518.820007,0.380409,0.400044,0.571429,0.0,0.832949,41355.0,0.308015,0.902217,0.067882,0.276539,-0.076757,0.165923,7.692596
27,21.487103,559.590027,0.397011,0.411645,0.666667,0.0,0.827859,42709.0,0.329584,0.957349,0.077581,0.302537,-0.084627,0.153449,7.683125
28,23.633007,580.23999,0.434377,0.445205,0.684211,0.0,0.822531,48940.0,0.304156,0.973936,0.066621,0.28005,-0.078501,0.17063,7.677193
29,23.435225,598.340027,0.442697,0.444796,0.473684,0.0,0.818605,48259.0,0.353603,1.056184,0.080386,0.29881,-0.088242,0.174727,7.664021
30,24.152306,636.630005,0.436691,0.449332,0.571429,0.0,0.815833,46324.0,0.375847,1.081544,0.089633,0.325231,-0.093965,0.188975,7.668006
31,25.28977,680.119995,0.500271,0.515898,0.368421,0.0,0.810589,49071.0,0.3756,1.20498,0.094077,0.309279,-0.084258,0.233795,7.641286
32,25.826614,707.150024,0.478391,0.466779,0.5,0.0,0.807055,47164.0,0.405405,1.148776,0.097212,0.358471,-0.109851,0.188798,7.621678
33,27.025709,737.929993,0.489723,0.507857,0.411765,0.0,0.80266,45861.0,0.394259,1.227744,0.099603,0.340788,-0.099545,0.225739,7.608238
34,26.190453,731.400024,0.4108,0.405381,0.8125,0.0,0.799782,50654.0,0.356226,1.050294,0.087671,0.311437,-0.096433,0.207068,7.623299
35,25.628965,748.929993,0.439404,0.46489,0.352941,0.0,0.795892,40942.0,0.409522,1.150799,0.102265,0.34767,-0.099803,0.215582,7.616613
36,25.622345,780.450012,0.46998,0.51692,0.411765,0.0,0.79112,52459.0,0.468383,1.292954,0.108581,0.443724,-0.124479,0.195467,7.64531
37,27.556183,813.570007,0.520173,0.518338,0.5,0.0,0.787877,47517.0,0.447987,1.288246,0.105415,0.418489,-0.12479,0.222445,7.677717
38,28.762417,840.440002,0.537607,0.534236,0.631579,0.0,0.78637,48978.0,0.444042,1.345775,0.105131,0.396959,-0.121005,0.246187,7.668265
39,29.545185,846.630005,0.537585,0.571134,0.411765,0.0,0.781643,51943.0,0.471181,1.353398,0.115718,0.439294,-0.127307,0.237306,7.698513
40,31.285494,867.630005,0.5736,0.601412,0.384615,0.0,0.77722,57519.0,0.426578,1.415928,0.110926,0.376253,-0.106928,0.257428,7.702989
41,33.551258,912.090027,0.598674,0.657623,0.25,0.0,0.772749,51476.0,0.492003,1.52871,0.120012,0.455155,-0.123095,0.283117,7.755016
42,35.415833,975.0,0.604671,0.65612,0.111111,0.0,0.769372,49382.0,0.502422,1.537924,0.125495,0.479996,-0.132037,0.268599,7.85013
43,34.046577,992.25,0.595968,0.645323,0.25,0.0,0.766302,44752.0,0.504328,1.516481,0.126703,0.477787,-0.133266,0.279494,7.891362
44,39.323601,996.01001,0.593231,0.641962,0.208333,0.0,0.762828,44796.0,0.500221,1.504295,0.124578,0.4759,-0.131467,0.283707,7.993729
45,34.638077,999.23999,0.562376,0.620132,0.166667,0.0,0.759021,42382.0,0.501168,1.484085,0.128603,0.483653,-0.133549,0.279126,8.062942
46,32.623466,969.23999,0.544383,0.596006,0.291667,0.0,0.755445,39334.0,0.488914,1.452365,0.125425,0.477331,-0.132552,0.284195,8.105803
47,39.260372,998.01001,0.605111,0.650974,0.125,0.0,0.752026,39919.0,0.485893,1.513933,0.125926,0.476154,-0.132257,0.301562,8.129058
48,42.042751,1000.0,0.600901,0.636964,0.041667,0.0,0.7488,36687.0,0.483409,1.507014,0.126245,0.480547,-0.133758,0.300071,8.129066
49,41.466103,1000.0,0.636161,0.688561,0.0,0.0,0.745166,38777.0,0.479579,1.532484,0.123787,0.490936,-0.132598,0.302613,8.162079
