iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7508,54.221432,278.609985,0.222132,0.238411,0.0,0.0,0.056994,77397.0,0.041622,0.066898,0.049023,0.091157,-0.015975,0.177285,7.147816,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.13825,-0.04133,-0.003881,0.0,0.0,-0.022251,0.0,-0.005484,-0.004426,-0.007804,0.230459,-0.011455,-0.0295,-0.002263,-0.00779,0.508457,1.219454,-0.02445,-0.000484,-0.008817,0.0,4.541667,0.020738,0.073981,0.11888
7509,58.864849,301.059998,0.240914,0.253432,0.0,0.0,0.056861,77787.0,0.042162,0.071494,0.05095,0.095558,-0.015479,0.199999,7.166908,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.15025,-0.043748,-0.002745,0.0,0.0,-0.022159,0.0,-0.00548,-0.004002,-0.007794,0.256761,-0.011649,-0.030663,-0.002345,-0.007896,0.56181,1.334092,-0.023039,-0.00059,-0.009562,0.0,4.625,0.020935,0.080986,0.12878
7510,63.674484,326.73999,0.272995,0.277167,0.0,0.0,0.056989,76987.0,0.050336,0.078924,0.059696,0.117607,-0.020854,0.215759,7.139116,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.16225,-0.049072,-0.005009,0.0,0.0,-0.027061,0.0,-0.006735,-0.005865,-0.009825,0.267015,-0.013853,-0.03419,-0.002789,-0.008491,0.594299,1.42638,-0.031678,-0.000344,-0.015321,0.0,4.75,0.016899,0.074603,0.124772
7511,66.237381,350.410004,0.248901,0.285947,0.0,0.0,0.056884,80452.0,0.067059,0.087686,0.067125,0.146056,-0.026387,0.245362,7.160741,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.174456,-0.053508,-0.007406,0.0,0.0,-0.037266,0.0,-0.008038,-0.007524,-0.013182,0.274864,-0.015907,-0.044571,-0.004023,-0.012392,0.607724,1.522171,-0.041577,-0.000513,-0.020912,0.0,4.565217,0.025382,0.10326,0.133477
7512,72.413544,373.079987,0.311229,0.311515,0.0,0.0,0.056701,80474.0,0.056262,0.091281,0.064375,0.120215,-0.021707,0.221498,7.146607,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.186391,-0.055678,-0.005565,0.0,0.0,-0.028451,0.0,-0.007408,-0.006014,-0.010405,0.306514,-0.014983,-0.038875,-0.003104,-0.00927,0.684144,1.648362,-0.0336,-0.000517,-0.016161,0.0,4.434783,0.018232,0.078761,0.126018
7513,76.916733,395.809998,0.315859,0.340099,0.0,0.0,0.056776,79855.0,0.062646,0.095747,0.067554,0.140727,-0.023232,0.259221,7.17111,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.19825,-0.05794,-0.005357,0.0,0.0,-0.03238,0.0,-0.008141,-0.006798,-0.012031,0.325948,-0.016308,-0.044495,-0.003202,-0.010543,0.720286,1.750505,-0.037707,-0.000439,-0.020068,0.0,4.041667,0.023796,0.080896,0.113773
7514,80.624779,420.980011,0.327252,0.356541,0.0,0.0,0.056667,82576.0,0.074113,0.101141,0.07605,0.142541,-0.025195,0.267849,7.137849,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.209886,-0.060584,-0.005886,0.0,0.0,-0.034731,0.0,-0.008503,-0.007001,-0.012694,0.345205,-0.016849,-0.044095,-0.003471,-0.011794,0.75041,1.85686,-0.039123,-0.000923,-0.031669,0.0,5.090909,0.023946,0.076303,0.133753
7515,85.81739,444.25,0.374238,0.381299,0.0,0.0,0.056594,79542.0,0.075733,0.106435,0.085375,0.172921,-0.031619,0.306463,7.166069,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.222218,-0.067459,-0.00933,0.0,0.0,-0.043637,0.0,-0.010075,-0.009593,-0.015534,0.356784,-0.018867,-0.049655,-0.00398,-0.013118,0.794365,1.956973,-0.050625,-0.000701,-0.032757,0.0,4.26087,0.0195,0.077736,0.127248
7516,89.934967,466.98999,0.381118,0.385285,0.0,0.0,0.056565,81853.0,0.079127,0.111381,0.082393,0.164359,-0.029081,0.310225,7.178489,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.234239,-0.073465,-0.005653,0.0,0.0,-0.039146,0.0,-0.009502,-0.007856,-0.014065,0.381761,-0.019659,-0.049989,-0.004179,-0.012158,0.840952,2.066935,-0.045613,-0.000543,-0.033489,0.0,4.190476,0.025067,0.074971,0.149526
7517,93.983063,491.359985,0.398482,0.410776,0.0,0.0,0.056603,78526.0,0.080984,0.120376,0.08049,0.179339,-0.033381,0.321357,7.23386,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.246251,-0.080943,-0.008688,0.0,0.0,-0.046402,0.0,-0.010763,-0.009497,-0.016724,0.399687,-0.021075,-0.055405,-0.004346,-0.015634,0.876957,2.167218,-0.052968,-0.000615,-0.051184,0.0,3.708333,0.022796,0.095797,0.123823
