iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1499,1.709231,18.42,0.008612,0.009841,0.25,37.041668,0.048397,8330.0,0.004496,0.005837,0.00028,0.003478,-0.000977,0.003119,16.471867,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.005737,-0.003815,-0.000122,-0.01712,-0.010187,-0.000466,-0.001382,-0.000576,0.009236,-0.013807,-0.00417,-0.003186,-0.001298,0.012655,0.042367,-0.001493,-1.3e-05,-6e-06,34.625,0.0,3.708333,0.108381,0.09737,0.163289
1500,2.929368,42.139999,0.023513,0.02676,0.916667,5.666667,0.048647,3685.0,0.01689,0.019628,0.002058,0.014153,-0.002011,0.011404,15.118994,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.016519,-0.010649,-0.000531,-0.027678,-0.014474,-0.001087,-0.001156,-0.001651,0.023414,-0.023083,-0.013035,-0.002338,-0.002705,0.027379,0.108668,-0.003968,-0.000108,-9.2e-05,3.083333,0.0,4.291667,0.054698,0.189598,0.223864
1501,5.699781,61.27,0.041137,0.04034,1.5,1.291667,0.048878,3818.0,0.036425,0.033653,0.004758,0.02582,-0.003811,0.020711,14.249278,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.02686,-0.016107,-0.001186,-0.028922,-0.019311,-0.001804,-0.001758,-0.002547,0.036503,-0.039277,-0.02226,-0.004018,-0.004514,0.030513,0.158466,-0.007034,-0.000311,-0.000313,6.416667,0.0,3.5,0.041808,0.332461,0.337913
1502,9.538209,80.690002,0.056241,0.058435,2.125,1.083333,0.049175,4007.0,0.042109,0.041274,0.006757,0.031386,-0.004932,0.029073,13.918995,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.037664,-0.02071,-0.001841,-0.022354,-0.020872,-0.002236,-0.002194,-0.003375,0.053141,-0.035816,-0.023081,-0.004478,-0.00459,0.059199,0.249407,-0.00942,-0.00046,-0.00105,2.541667,0.0,4.5,0.044189,0.219356,0.3315
1503,11.774837,98.43,0.072157,0.075165,0.75,1.041667,0.049511,3918.0,0.044721,0.04756,0.007276,0.038829,-0.006439,0.041921,13.798662,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.047386,-0.02694,-0.002125,-0.020293,-0.028061,-0.002809,-0.003033,-0.004809,0.070195,-0.038279,-0.029375,-0.005694,-0.006218,0.085291,0.326743,-0.0122,-0.001035,-0.001447,2.458333,0.0,4.208333,0.038636,0.227367,0.272232
1504,15.67451,114.949997,0.080999,0.085759,0.833333,1.0,0.049722,3781.0,0.04778,0.049725,0.009339,0.043654,-0.007016,0.049003,13.687902,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.054643,-0.030256,-0.003355,-0.018464,-0.031041,-0.002847,-0.003153,-0.005397,0.081771,-0.029849,-0.028663,-0.005942,-0.006923,0.106183,0.388197,-0.012727,-0.000474,-0.002539,1.458333,0.0,4.083333,0.041343,0.189352,0.277207
1505,18.651899,133.559998,0.097924,0.10176,0.583333,0.708333,0.04999,3702.0,0.04698,0.050387,0.010231,0.04648,-0.007975,0.059524,13.513794,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.064325,-0.034139,-0.002649,-0.017715,-0.031003,-0.003338,-0.003749,-0.006254,0.097255,-0.036846,-0.027912,-0.00593,-0.006639,0.142283,0.483839,-0.015079,-0.0004,-0.002079,1.583333,0.0,3.625,0.040294,0.194087,0.274454
1506,21.129414,159.839996,0.114878,0.123256,1.083333,0.666667,0.050333,4141.0,0.056975,0.071801,0.013924,0.056216,-0.010366,0.070744,13.328933,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.078176,-0.041057,-0.004857,-0.016595,-0.040626,-0.004212,-0.00493,-0.008255,0.118268,-0.041186,-0.037121,-0.007433,-0.008601,0.164287,0.571635,-0.019313,-0.000446,-0.003413,1.791667,0.0,4.166667,0.04381,0.199682,0.276158
1507,23.188793,162.009995,0.126704,0.126463,2.0,0.666667,0.050823,4139.0,0.067586,0.072318,0.015516,0.063022,-0.011758,0.078831,13.070034,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.08072,-0.041192,-0.004651,-0.022241,-0.038599,-0.004347,-0.004992,-0.008325,0.120507,-0.046685,-0.037751,-0.007419,-0.007445,0.164829,0.592056,-0.021629,-0.000425,-0.002813,1.875,0.0,3.458333,0.05525,0.308096,0.317227
