iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
75,28.252987,698.659973,1.211427,-0.043929,1.75,0.0,0.612146,49525.0
76,28.90032,704.25,1.324644,-0.043413,2.086957,0.0,0.608484,51425.0
77,32.664433,792.570007,1.499035,-0.048645,1.125,0.0,0.60529,50164.0
78,33.062805,798.27002,1.412153,-0.046554,1.173913,0.0,0.602211,51910.0
79,33.051285,807.219971,1.494712,-0.055434,1.521739,0.0,0.599159,49649.0
80,33.106045,791.26001,1.538278,-0.04517,1.391304,0.0,0.595929,52362.0
81,34.068035,800.169983,1.481435,-0.041823,1.666667,0.0,0.593427,48808.0
82,34.296078,796.789978,1.470322,-0.041575,1.391304,0.0,0.591638,51300.0
83,34.883297,814.070007,1.522888,-0.042039,1.130435,0.0,0.589068,50573.0
84,34.785633,811.47998,1.440845,-0.044178,1.434783,0.0,0.585462,50471.0
85,36.921017,854.679993,1.549102,-0.040134,1.083333,0.0,0.583205,45058.0
86,38.287109,879.51001,1.664783,-0.049299,1.0,0.0,0.578489,54050.0
87,37.596127,861.47998,1.588217,-0.042214,1.125,0.0,0.575466,54373.0
88,38.517403,864.200012,1.607049,-0.041612,1.125,0.0,0.572322,53533.0
89,38.601109,863.390015,1.606695,-0.040874,0.916667,0.0,0.568089,52541.0
90,38.997158,875.599976,1.668908,-0.046514,0.791667,0.0,0.565786,54513.0
91,39.146824,865.25,1.57093,-0.042028,0.791667,0.0,0.562216,54855.0
92,40.157551,882.119995,1.667807,-0.046448,0.909091,0.0,0.559238,59858.0
93,40.189514,875.820007,1.597029,-0.042581,0.73913,0.0,0.555709,53239.0
94,38.884502,847.219971,1.513058,-0.039919,1.125,0.0,0.553673,52267.0
95,40.737892,884.669983,1.650152,-0.04696,0.782609,0.0,0.548116,54800.0
96,42.689827,920.299988,1.719291,-0.046201,0.583333,0.0,0.544383,56937.0
97,41.407776,887.299988,1.67218,-0.044535,1.041667,0.0,0.541793,56236.0
98,41.166832,872.669983,1.601149,-0.049196,0.913043,0.0,0.540359,54838.0
99,41.143806,870.169983,1.626157,-0.04659,0.954545,0.0,0.538602,56213.0
100,40.630692,848.22998,1.614462,-0.04041,1.043478,0.0,0.535371,49625.0
101,42.66975,887.799988,1.6273,-0.047749,0.75,0.0,0.532057,51225.0
102,43.022568,888.719971,1.590674,-0.040069,0.913043,0.0,0.529018,52452.0
103,44.372368,918.099976,1.705323,-0.043049,0.590909,0.0,0.527278,52209.0
104,42.937714,879.820007,1.694692,-0.046072,0.791667,0.0,0.525829,48437.0
105,43.034626,873.929993,1.659785,-0.039231,0.875,0.0,0.523554,42815.0
106,40.567146,825.390015,1.592089,-0.040853,1.166667,0.0,0.522322,32703.0
107,44.108807,894.719971,1.754035,-0.042377,0.625,0.0,0.51884,30649.0
108,45.575508,919.409973,1.690754,-0.046326,0.291667,0.0,0.515107,43781.0
109,44.164204,887.320007,1.695471,-0.047769,0.916667,0.0,0.51502,50218.0
110,42.860249,847.869995,1.596831,-0.037599,1.0,0.0,0.511758,45525.0
111,46.215332,906.25,1.723978,-0.040959,0.666667,0.0,0.509304,53179.0
112,45.296333,885.440002,1.64891,-0.038851,0.75,0.0,0.504888,53458.0
113,48.249577,936.72998,1.765203,-0.040247,0.434783,0.0,0.502989,49821.0
114,47.605766,926.76001,1.733937,-0.04561,0.608696,0.0,0.501179,56437.0
115,46.874222,901.859985,1.753941,-0.03935,0.652174,0.0,0.499373,53340.0
116,47.689857,918.0,1.711149,-0.042711,0.625,0.0,0.498661,52905.0
117,45.262001,873.72998,1.639482,-0.037203,0.809524,0.0,0.495782,55819.0
118,46.73241,892.169983,1.79437,-0.042755,0.416667,0.0,0.493364,53717.0
119,48.363163,916.98999,1.747342,-0.037207,0.5,0.0,0.492311,57271.0
120,48.740551,921.340027,1.80321,-0.042854,0.409091,0.0,0.488516,50868.0
121,51.622204,971.190002,1.862302,-0.044873,0.227273,0.0,0.486031,58406.0
122,49.716946,932.169983,1.79629,-0.039099,0.478261,0.0,0.48394,56230.0
123,49.818039,928.609985,1.758397,-0.042122,0.565217,0.0,0.481183,56539.0
124,49.277084,915.140015,1.722067,-0.037655,0.608696,0.0,0.478595,56530.0
125,49.223843,918.280029,1.709281,-0.037451,0.391304,0.0,0.475772,51524.0
126,51.434696,955.0,1.84452,-0.043737,0.333333,0.0,0.472947,48850.0
127,50.194767,927.820007,1.736404,-0.039211,0.608696,0.0,0.471691,48247.0
128,49.47665,907.950012,1.752804,-0.037522,0.565217,0.0,0.470462,52041.0
129,51.16922,931.090027,1.769589,-0.038378,0.458333,0.0,0.468702,49943.0
130,51.598122,941.119995,1.823388,-0.040191,0.217391,0.0,0.465606,50935.0
131,52.450455,950.549988,1.838957,-0.035808,0.347826,0.0,0.464993,51077.0
132,51.914005,940.880005,1.79111,-0.037728,0.458333,0.0,0.46222,49222.0
133,50.840466,917.330017,1.7188,-0.03822,0.521739,0.0,0.459339,52420.0
134,51.664787,930.77002,1.828336,-0.037313,0.318182,0.0,0.457377,48564.0
135,50.926991,909.859985,1.76062,-0.033591,0.652174,0.0,0.456248,44884.0
136,53.45821,950.0,1.834016,-0.036465,0.347826,0.0,0.454853,56213.0
137,52.168991,926.880005,1.7697,-0.032123,0.5,0.0,0.453074,55943.0
138,51.469494,910.119995,1.798434,-0.035329,0.458333,0.0,0.452166,52850.0
139,52.504341,926.969971,1.77713,-0.031824,0.454545,0.0,0.449192,54573.0
140,52.848656,932.840027,1.821999,-0.038712,0.434783,0.0,0.445581,53600.0
141,55.639362,977.830017,1.875769,-0.035403,0.125,0.0,0.442986,49528.0
142,56.433273,985.840027,1.83077,-0.02803,0.130435,0.0,0.440234,56188.0
143,54.912319,958.179993,1.817327,-0.031052,0.363636,0.0,0.438972,57497.0
144,56.804607,981.650024,1.846254,-0.029662,0.173913,0.0,0.435351,57684.0
145,56.345444,970.190002,1.871948,-0.0297,0.173913,0.0,0.432529,55154.0
146,56.813782,978.890015,1.851604,-0.036532,0.130435,0.0,0.430029,50922.0
147,56.224354,963.849976,1.86647,-0.030619,0.166667,0.0,0.427812,52101.0
148,54.532543,934.210022,1.792577,-0.031033,0.5,0.0,0.425203,53699.0
149,56.137913,960.599976,1.843625,-0.028632,0.166667,0.0,0.422043,50676.0
150,55.329151,944.330017,1.833283,-0.031645,0.304348,0.0,0.42084,51181.0
151,56.258114,953.039978,1.821195,-0.030066,0.333333,0.0,0.417921,51585.0
152,55.873943,948.51001,1.812767,-0.032735,0.391304,0.0,0.417172,51990.0
153,55.28791,940.76001,1.829455,-0.030489,0.26087,0.0,0.414164,51087.0
154,57.582081,970.890015,1.878287,-0.031278,0.086957,0.0,0.410078,49015.0
155,57.324406,961.570007,1.862116,-0.026552,0.26087,0.0,0.409516,50145.0
156,57.906429,971.080017,1.879699,-0.03022,0.26087,0.0,0.406475,46483.0
