iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
77,43.740219,500.0,1.978373,-0.005879,0.0,0.0,0.449864,123628.0
78,43.834587,500.0,1.978101,-0.005648,0.0,0.0,0.44403,128777.0
79,43.942326,500.0,1.979558,-0.005383,0.0,0.0,0.43868,125530.0
80,44.03968,500.0,1.979023,-0.005183,0.0,0.0,0.433208,127040.0
81,44.121807,500.0,1.978954,-0.004931,0.0,0.0,0.428169,135465.0
82,44.183735,500.0,1.979924,-0.004725,0.0,0.0,0.42273,133175.0
83,44.294861,500.0,1.981018,-0.004713,0.0,0.0,0.416636,126275.0
84,44.599606,500.0,1.981897,-0.004512,0.0,0.0,0.410827,120228.0
85,44.710243,500.0,1.982309,-0.00449,0.0,0.0,0.406301,123940.0
86,44.833012,500.0,1.982849,-0.00433,0.0,0.0,0.401873,118783.0
87,44.905704,500.0,1.983581,-0.004142,0.0,0.0,0.39583,111069.0
88,45.012138,500.0,1.983791,-0.004054,0.0,0.0,0.38908,110455.0
89,45.094639,500.0,1.984337,-0.003967,0.0,0.0,0.383871,113246.0
90,45.21357,500.0,1.984664,-0.003807,0.0,0.0,0.379073,121211.0
91,45.269787,500.0,1.985002,-0.003743,0.0,0.0,0.37317,126848.0
92,45.346561,500.0,1.985513,-0.003626,0.0,0.0,0.368551,125158.0
93,45.43232,500.0,1.985747,-0.00355,0.0,0.0,0.363942,120436.0
94,45.506775,500.0,1.986122,-0.003471,0.0,0.0,0.358097,121873.0
95,45.617561,500.0,1.986772,-0.003401,0.0,0.0,0.352848,124455.0
96,45.661961,500.0,1.9869,-0.003316,0.0,0.0,0.348577,115966.0
97,45.73328,500.0,1.987198,-0.003222,0.0,0.0,0.344712,119671.0
98,45.804214,500.0,1.987508,-0.0031,0.0,0.0,0.339808,128174.0
99,45.882881,500.0,1.988464,-0.003005,0.0,0.0,0.335996,137652.0
100,45.954609,500.0,1.988261,-0.002926,0.0,0.0,0.332157,128702.0
101,46.013775,500.0,1.988735,-0.002818,0.0,0.0,0.327452,131119.0
102,46.076603,500.0,1.989106,-0.002822,0.0,0.0,0.322711,131851.0
103,46.155403,500.0,1.989287,-0.002735,0.0,0.0,0.317053,123361.0
104,46.233284,500.0,1.989051,-0.002689,0.0,0.0,0.311911,122770.0
105,46.424351,500.0,1.989697,-0.002652,0.0,0.0,0.308362,107917.0
106,46.470264,500.0,1.990026,-0.002558,0.0,0.0,0.304239,116714.0
107,46.561844,500.0,1.990194,-0.002507,0.0,0.0,0.300042,118636.0
108,46.610794,500.0,1.990553,-0.002426,0.0,0.0,0.294965,118755.0
109,46.720314,500.0,1.990745,-0.002373,0.0,0.0,0.290773,120603.0
110,46.759373,500.0,1.990984,-0.002322,0.0,0.0,0.287264,118649.0
111,46.849022,500.0,1.991514,-0.002278,0.0,0.0,0.282177,119287.0
112,46.917149,500.0,1.991462,-0.002206,0.0,0.0,0.277129,111938.0
113,46.963005,500.0,1.991794,-0.002165,0.0,0.0,0.273586,121096.0
114,47.031418,500.0,1.992016,-0.002091,0.0,0.0,0.269366,121360.0
115,47.077465,500.0,1.992079,-0.002039,0.0,0.0,0.265622,117322.0
116,47.136959,500.0,1.992219,-0.001986,0.0,0.0,0.262467,119641.0
117,47.194653,500.0,1.992687,-0.00192,0.0,0.0,0.259755,118390.0
118,47.249664,500.0,1.992976,-0.001953,0.0,0.0,0.256038,118533.0
119,47.314774,500.0,1.993075,-0.001893,0.0,0.0,0.252393,115943.0
120,47.369205,500.0,1.992957,-0.001813,0.0,0.0,0.248502,121802.0
121,47.412048,500.0,1.993336,-0.001791,0.0,0.0,0.245181,117946.0
122,47.45467,500.0,1.993675,-0.001759,0.0,0.0,0.241655,125134.0
123,47.477158,500.0,1.993795,-0.001724,0.0,0.0,0.238482,129866.0
124,47.538364,500.0,1.993955,-0.001651,0.0,0.0,0.235435,125460.0
125,47.628063,500.0,1.994291,-0.001642,0.0,0.0,0.232106,122412.0
126,47.725918,500.0,1.994326,-0.001606,0.0,0.0,0.228621,120521.0
127,47.796886,500.0,1.994516,-0.001556,0.0,0.0,0.225065,114781.0
128,47.848507,500.0,1.994677,-0.001512,0.0,0.0,0.221122,109488.0
129,47.89521,500.0,1.994816,-0.00149,0.0,0.0,0.217275,119372.0
130,47.939919,500.0,1.994972,-0.001453,0.0,0.0,0.213801,117938.0
131,48.011742,500.0,1.995132,-0.001415,0.0,0.0,0.210018,118672.0
132,48.042351,500.0,1.995198,-0.001399,0.0,0.0,0.206255,115933.0
133,48.076855,500.0,1.995277,-0.001357,0.0,0.0,0.202639,118664.0
134,48.134323,500.0,1.995435,-0.001318,0.0,0.0,0.198579,118807.0
135,48.173954,500.0,1.995615,-0.001277,0.0,0.0,0.194075,119524.0
136,48.203857,500.0,1.99577,-0.001265,0.0,0.0,0.190454,118724.0
137,48.244297,500.0,1.995826,-0.001201,0.0,0.0,0.187177,119426.0
138,48.286282,500.0,1.995981,-0.001196,0.0,0.0,0.183988,119972.0
139,48.326969,500.0,1.996,-0.001172,0.0,0.0,0.180795,121229.0
140,48.364483,500.0,1.996125,-0.001153,0.0,0.0,0.177255,123306.0
141,48.409691,500.0,1.996427,-0.00114,0.0,0.0,0.173381,120711.0
142,48.438644,500.0,1.99646,-0.001063,0.0,0.0,0.170335,117420.0
143,48.47044,500.0,1.996506,-0.001069,0.0,0.0,0.167633,113171.0
144,48.49115,500.0,1.996653,-0.001031,0.0,0.0,0.165557,106411.0
145,48.527874,500.0,1.996701,-0.00098,0.0,0.0,0.163077,119457.0
146,48.622231,500.0,1.99682,-0.000958,0.0,0.0,0.161297,112957.0
147,48.69173,500.0,1.996971,-0.000946,0.0,0.0,0.159157,112744.0
148,48.723862,500.0,1.997049,-0.00093,0.0,0.0,0.156637,115459.0
149,48.765339,500.0,1.997181,-0.000903,0.0,0.0,0.153976,117016.0
150,48.788193,500.0,1.997231,-0.000866,0.0,0.0,0.151162,112502.0
151,48.836658,500.0,1.99735,-0.000847,0.0,0.0,0.148538,117094.0
152,48.86953,500.0,1.997423,-0.000834,0.0,0.0,0.146194,113301.0
153,48.898933,500.0,1.997524,-0.000796,0.0,0.0,0.143868,108544.0
154,48.930862,500.0,1.997587,-0.000789,0.0,0.0,0.141685,106083.0
155,48.962967,500.0,1.997664,-0.00074,0.0,0.0,0.139663,110220.0
156,48.993572,500.0,1.997778,-0.000741,0.0,0.0,0.137177,112334.0
157,49.016106,500.0,1.997818,-0.000719,0.0,0.0,0.134947,106734.0
158,49.044037,500.0,1.997909,-0.000675,0.0,0.0,0.132838,114241.0
159,49.067291,500.0,1.997926,-0.000656,0.0,0.0,0.13047,109774.0
160,49.082378,500.0,1.99797,-0.000651,0.0,0.0,0.127488,121594.0
161,49.107128,500.0,1.998024,-0.000647,0.0,0.0,0.124325,118591.0
162,49.132732,500.0,1.99812,-0.00062,0.0,0.0,0.122204,120534.0
163,49.152409,500.0,1.998123,-0.000621,0.0,0.0,0.120213,123078.0
164,49.175003,500.0,1.998175,-0.000559,0.0,0.0,0.117496,119124.0
165,49.187309,500.0,1.998265,-0.000578,0.0,0.0,0.114726,122849.0
166,49.207203,500.0,1.998337,-0.000543,0.0,0.0,0.112408,120075.0
167,49.267635,500.0,1.998372,-0.000505,0.0,0.0,0.110422,119268.0
168,49.291084,500.0,1.998444,-0.000499,0.0,0.0,0.108049,114491.0
169,49.31879,500.0,1.998487,-0.000484,0.0,0.0,0.106284,116009.0
170,49.338036,500.0,1.998522,-0.000473,0.0,0.0,0.104676,118109.0
171,49.358986,500.0,1.998576,-0.000455,0.0,0.0,0.102726,115718.0
172,49.37714,500.0,1.998624,-0.000441,0.0,0.0,0.10083,112521.0
173,49.396397,500.0,1.998682,-0.000426,0.0,0.0,0.098654,111705.0
174,49.41729,500.0,1.998747,-0.000419,0.0,0.0,0.096602,112478.0
