iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,-0.018615,20.299999,0.022632,-0.001213,1.5,0.0,0.975079,63384.0
1,0.005875,46.630001,0.06279,-0.007615,16.791668,0.0,0.94364,101832.0
2,0.242066,66.150002,0.101884,-0.010538,19.75,0.0,0.919122,97109.0
3,1.027389,90.779999,0.139837,-0.012136,14.75,0.0,0.901597,96417.0
4,1.540857,106.75,0.176167,-0.012448,16.208334,0.0,0.889075,99015.0
5,2.164508,125.269997,0.206529,-0.012722,25.333334,0.0,0.877816,99541.0
6,2.565609,135.529999,0.23654,-0.013103,24.916668,0.0,0.867339,102188.0
7,3.410287,162.240005,0.274724,-0.014359,22.166668,0.0,0.857619,102293.0
8,3.841584,167.410004,0.299339,-0.014136,18.25,0.0,0.846936,103279.0
9,4.233273,184.389999,0.332829,-0.016932,10.083334,0.0,0.834462,104003.0
10,5.130353,201.470001,0.358698,-0.017321,7.958333,0.0,0.824453,104944.0
11,6.19437,230.970001,0.389374,-0.015549,9.541667,0.0,0.816095,102890.0
12,6.391504,222.649994,0.404733,-0.016441,12.375,0.0,0.809069,105228.0
13,6.821499,234.529999,0.430904,-0.017032,12.333334,0.0,0.802522,105320.0
14,8.116935,266.359985,0.4868,-0.016931,8.666667,0.0,0.793596,105002.0
15,8.876002,287.140015,0.502969,-0.018447,6.791667,0.0,0.784199,105111.0
16,9.640252,296.660004,0.538021,-0.016631,5.708333,0.0,0.774884,103947.0
17,10.238848,312.059998,0.56437,-0.017795,5.666667,0.0,0.765702,104990.0
18,11.235009,331.200012,0.59313,-0.0191,6.125,0.0,0.754844,103648.0
19,13.092897,379.040009,0.659595,-0.018475,7.291667,0.0,0.742421,103650.0
20,12.739915,355.200012,0.6609,-0.019168,5.375,0.0,0.733974,103582.0
21,14.818579,403.730011,0.70433,-0.017895,5.958333,0.0,0.725019,100995.0
22,14.728111,395.160004,0.734167,-0.018999,4.583333,0.0,0.715426,96237.0
23,14.857529,397.350006,0.768875,-0.021044,3.458333,0.0,0.70803,100431.0
24,16.814606,431.850006,0.787695,-0.020899,4.833333,0.0,0.699487,99197.0
25,17.482323,441.670013,0.842367,-0.019534,4.583333,0.0,0.689483,97289.0
