iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
40,41.617851,901.799988,0.631823,0.672537,0.133333,0.0,0.803219,64367.0,0.476024,1.572364,0.115978,0.824243,-0.124108,0.261038,8.354937
41,43.535625,941.200012,0.698592,0.753789,0.055556,0.0,0.798489,55667.0,0.511209,1.686167,0.116665,0.913536,-0.133583,0.246436,8.341341
42,45.046284,983.679993,0.696257,0.730818,0.0,0.0,0.795913,59886.0,0.51621,1.683108,0.123472,0.962679,-0.141265,0.292137,8.354134
43,48.267132,993.150024,0.673577,0.725891,0.083333,0.0,0.790302,48147.0,0.494182,1.688338,0.122876,0.92328,-0.135085,0.283202,8.369304
44,49.700581,998.52002,0.667065,0.716988,0.083333,0.0,0.788021,47247.0,0.490689,1.651765,0.116853,0.915776,-0.135773,0.29329,8.369616
45,47.635246,1000.0,0.677644,0.733159,0.041667,0.0,0.785618,46001.0,0.493557,1.667225,0.121011,0.938473,-0.136601,0.289274,8.336712
46,47.503212,1000.0,0.670794,0.715124,0.041667,0.0,0.781963,47208.0,0.481217,1.678542,0.123582,0.914903,-0.137117,0.299111,8.321601
47,49.808636,999.380005,0.671228,0.729821,0.166667,0.0,0.779977,49744.0,0.471613,1.662961,0.121111,0.885669,-0.128664,0.305709,8.32027
48,50.851345,1000.0,0.717548,0.761944,0.0,0.0,0.776966,48515.0,0.461119,1.70241,0.120295,0.888447,-0.129798,0.310546,8.331038
49,55.342575,1000.0,0.720761,0.769804,0.041667,0.0,0.773763,49643.0,0.454785,1.702257,0.117066,0.866176,-0.123107,0.33943,8.325464
50,55.089252,983.919983,0.735978,0.773636,0.208333,0.0,0.770836,46463.0,0.445247,1.707171,0.118211,0.87974,-0.127352,0.321479,8.305151
51,54.084438,990.599976,0.7488,0.785513,0.166667,0.0,0.768161,45552.0,0.442194,1.701665,0.115982,0.877153,-0.126296,0.329741,8.320723
52,58.30423,997.840027,0.804891,0.837756,0.083333,0.0,0.764069,43630.0,0.4377,1.765262,0.115983,0.876574,-0.125594,0.356691,8.307063
53,56.940567,1000.0,0.79659,0.824519,0.0,0.0,0.76103,47917.0,0.444148,1.735003,0.115804,0.93909,-0.135062,0.32695,8.318496
54,57.690525,976.109985,0.787889,0.818545,0.130435,0.0,0.758183,46749.0,0.41365,1.723591,0.114205,0.852406,-0.120818,0.360595,8.341324
55,58.655327,990.669983,0.805276,0.838461,0.0,0.0,0.755682,50787.0,0.427123,1.756401,0.114948,0.938983,-0.131487,0.341918,8.332655
56,58.654209,984.679993,0.809364,0.835425,0.090909,0.0,0.752978,49097.0,0.405287,1.734471,0.116529,0.868158,-0.123392,0.36163,8.302352
57,58.5135,984.679993,0.838871,0.863099,0.0,0.0,0.750377,44892.0,0.427877,1.790339,0.124748,0.950167,-0.135503,0.350195,8.330473
58,61.453777,1000.0,0.854794,0.893728,0.0,0.0,0.748606,47203.0,0.402121,1.767069,0.112673,0.947216,-0.130453,0.360691,8.363028
59,61.738514,991.26001,0.835012,0.86379,0.058824,0.0,0.746743,45559.0,0.397092,1.709079,0.117573,0.917564,-0.126212,0.393301,8.392756
60,60.080044,983.700012,0.851228,0.87602,0.047619,0.0,0.744272,29972.0,0.400583,1.77657,0.116889,0.923052,-0.128608,0.387089,8.332426
61,63.302521,992.440002,0.86197,0.888263,0.0,0.0,0.741579,36636.0,0.391202,1.784029,0.115677,0.909435,-0.126213,0.398196,8.353388
62,63.820793,985.72998,0.861467,0.892632,0.1,0.0,0.739251,36662.0,0.381368,1.714882,0.114684,0.869463,-0.117069,0.401839,8.352026
63,63.67078,978.650024,0.872399,0.901995,0.052632,0.0,0.73686,48076.0,0.383504,1.768034,0.121678,0.938761,-0.128411,0.405367,8.376279
64,63.89048,977.119995,0.877922,0.899749,0.047619,0.0,0.735573,54257.0,0.371693,1.774485,0.113551,0.822153,-0.11358,0.417197,8.340556
65,61.915115,974.98999,0.866355,0.896519,0.105263,0.0,0.734708,54289.0,0.37048,1.738621,0.116465,0.854595,-0.116335,0.35667,8.335643
66,63.174435,989.130005,0.89561,0.918122,0.0,0.0,0.734035,57202.0,0.376197,1.813054,0.115283,0.940873,-0.129002,0.398006,8.374056
67,62.762703,984.460022,0.896725,0.92193,0.052632,0.0,0.732989,55727.0,0.363641,1.787752,0.116965,0.918983,-0.126856,0.423347,8.392693
68,65.806656,995.330017,0.898235,0.921416,0.0,0.0,0.731787,67009.0,0.371358,1.806876,0.120511,0.915667,-0.125216,0.51892,8.380608
69,67.13166,980.799988,0.875873,0.899392,0.15,0.0,0.73001,53974.0,0.345466,1.73928,0.112893,0.920905,-0.125046,0.450219,8.368214
70,66.514465,974.77002,0.841686,0.869796,0.125,0.0,0.728415,57973.0,0.323417,1.633648,0.105164,0.831642,-0.110475,0.403685,8.416874
71,66.42762,974.77002,0.905367,0.934509,0.0,0.0,0.726473,61722.0,0.34826,1.788961,0.113125,0.952197,-0.127338,0.467018,8.411354
72,64.514244,974.77002,0.8989,0.931947,0.0,0.0,0.724282,61404.0,0.353654,1.815051,0.117843,0.909188,-0.122142,0.454613,8.419693
73,67.906754,990.460022,0.870209,0.898455,0.1,0.0,0.722885,54197.0,0.337269,1.682705,0.11366,0.805229,-0.107104,0.480681,8.421608
74,68.564255,990.460022,0.911039,0.944015,0.0,0.0,0.722005,68342.0,0.345041,1.779858,0.114802,0.866594,-0.116995,0.485101,8.439921
75,68.446487,990.460022,0.90501,0.935125,0.0,0.0,0.720059,57116.0,0.342549,1.766057,0.116765,1.020198,-0.137955,0.428966,8.425365
76,70.757294,995.299988,0.909384,0.936992,0.0,0.0,0.717678,59513.0,0.329287,1.758887,0.110826,0.945096,-0.121934,0.502576,8.399714
77,68.026169,995.299988,0.89891,0.93325,0.0,0.0,0.716237,53106.0,0.33766,1.766942,0.11576,0.933118,-0.122,0.437814,8.404156
78,70.13446,994.080017,0.871397,0.902137,0.058824,0.0,0.714515,50396.0,0.324836,1.711392,0.118122,0.936764,-0.123846,0.499571,8.3883
79,70.426132,994.080017,0.905737,0.940244,0.0,0.0,0.71224,58010.0,0.335568,1.74296,0.116935,0.930148,-0.122911,0.446104,8.384727
80,70.775513,979.150024,0.864649,0.899037,0.235294,0.0,0.710347,53804.0,0.313462,1.690662,0.112748,0.949339,-0.123752,0.462411,8.364786
81,70.770691,973.289978,0.866622,0.896686,0.125,0.0,0.708473,54362.0,0.334413,1.683275,0.117099,0.912322,-0.122629,0.436959,8.374176
82,70.483734,969.559998,0.854184,0.884928,0.1875,0.0,0.707108,52309.0,0.318296,1.677042,0.116059,0.891016,-0.116962,0.486304,8.358929
