iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,0.435438,9.923077,0.010169,0.090909,0.0,0.999822,3733.0
1,1.013862,29.0,0.028331,1.0625,0.0,0.998185,5103.0
2,1.427938,38.767857,0.04485,1.153846,0.0,0.996363,6904.0
3,1.951763,50.23077,0.063281,1.058824,0.0,0.995436,6116.0
