iteration,distance_mm,distance_mm_sd,distance_mm_worst,speed_mms,speed_mms_sd,speed_mms_worst,drift_mm,drift_mm_sd,drift_mm_worst,upright_min,upright_min_worst,height_mm,fell,fall_rate,foot_force_p99_n,foot_force_p99_n_sd,foot_force_p99_n_worst,joint_acc_rms,joint_acc_rms_worst,power_mean_w,cost_of_transport,track_mae_mms,track_mae_mms_sd,track_mae_mms_worst,top_speed_mms,top_speed_mms_worst,n_trials,grid,video
baseline,742.5,61.1,675.4,61.9,5.1,56.3,89.1,38.7,132.4,0.983,0.976,166.1,0,0.0,27.2,4.12,30.74,62.7,70.72,7.512,7.66,11.9,6.0,23.7,61.9,56.3,15,3c x 5s x 1d,progress/runs/2026-08-01_23-59-28_A_base/videos/baseline_phase2.mp4
2999,561.7,16.3,533.2,46.8,1.4,44.4,121.7,143.2,279.7,0.995,0.994,172.3,0,0.0,25.64,5.16,30.34,61.48,70.67,6.466,8.67,15.7,10.7,30.8,50.0,49.2,15,3c x 5s x 1d,progress/runs/2026-08-01_23-59-28_A_base/videos/iter_2999.mp4
