iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
11,-2.53342,220.229996,0.140018,0.154718,4.291667,0.0,0.716371,41945.0,0.111249,0.385887,0.019515,0.079052,-0.022783,0.038899,6.437579,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.106395,-0.000996,-0.001666,-0.023815,-0.050423,-0.500212,-0.038539,-0.005984,0.147833,-0.064623,-0.020063,-0.043327,-0.023073,0.128807,0.064465,-0.172842,-0.007629,-0.026769,0.0,2.791667,0.030501,0.119532,0.498423
12,-1.580217,241.520004,0.143858,0.16499,3.666667,0.0,0.705653,57765.0,0.115668,0.404512,0.023333,0.093101,-0.027173,0.05189,6.443906,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.113635,-0.001059,-0.001609,-0.026691,-0.060423,-0.51181,-0.040924,-0.006312,0.168958,-0.067257,-0.021197,-0.045939,-0.027286,0.145309,0.073232,-0.177173,-0.008689,-0.027201,0.0,2.083333,0.03236,0.120954,0.543382
13,-1.055256,262.970001,0.161414,0.190239,3.0,0.0,0.695387,64623.0,0.121418,0.461872,0.023925,0.093773,-0.028231,0.058844,6.441607,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.129467,-0.001191,-0.002064,-0.021623,-0.066283,-0.575414,-0.045428,-0.007302,0.187154,-0.072593,-0.023425,-0.0523,-0.029899,0.190976,0.086681,-0.199146,-0.009182,-0.036384,0.0,2.5,0.031192,0.140838,0.438871
14,-0.935637,283.079987,0.181982,0.198929,2.625,0.0,0.686554,65468.0,0.143179,0.477565,0.026962,0.113147,-0.030496,0.061875,6.430431,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.134254,-0.00122,-0.002026,-0.020507,-0.06954,-0.57882,-0.047164,-0.007483,0.200491,-0.075824,-0.025045,-0.053924,-0.031251,0.160551,0.087513,-0.200899,-0.013788,-0.044829,0.0,2.666667,0.027396,0.154957,0.470879
15,0.726332,297.839996,0.19173,0.212622,2.583333,0.0,0.677903,62181.0,0.139439,0.505631,0.026726,0.109468,-0.032622,0.066634,6.417576,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.145919,-0.001326,-0.002167,-0.021209,-0.077828,-0.607038,-0.049974,-0.008224,0.216341,-0.080161,-0.02636,-0.058391,-0.035017,0.210051,0.101816,-0.211112,-0.010044,-0.050851,0.0,2.291667,0.029006,0.137855,0.448915
16,0.215327,323.339996,0.201664,0.238356,2.956522,0.0,0.668776,66237.0,0.158159,0.553733,0.027963,0.107904,-0.03055,0.063475,6.404998,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.160232,-0.001429,-0.002294,-0.020576,-0.070544,-0.64947,-0.054379,-0.008753,0.216081,-0.088831,-0.028832,-0.061631,-0.032407,0.231861,0.110633,-0.226375,-0.012095,-0.055732,0.0,2.869565,0.033566,0.13566,0.399782
17,0.338502,354.820007,0.219852,0.270964,1.333333,0.0,0.660989,63673.0,0.183549,0.612864,0.032056,0.129746,-0.036926,0.070394,6.408111,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.180421,-0.001614,-0.002943,-0.01269,-0.089225,-0.718862,-0.059303,-0.009934,0.260981,-0.096801,-0.0313,-0.06765,-0.04081,0.23895,0.12567,-0.250883,-0.013112,-0.074682,0.0,2.625,0.030931,0.124702,0.316052
18,1.633231,372.73999,0.251308,0.27352,1.666667,0.0,0.652794,62859.0,0.183262,0.641968,0.034642,0.14596,-0.039449,0.089097,6.390253,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.187033,-0.001679,-0.002735,-0.015275,-0.093946,-0.726169,-0.06107,-0.01011,0.272982,-0.097041,-0.033087,-0.069038,-0.042623,0.254797,0.138855,-0.253637,-0.015728,-0.083682,0.0,2.75,0.029735,0.14969,0.33201
19,1.519007,416.089996,0.257303,0.299847,1.25,0.0,0.646278,65343.0,0.197389,0.681734,0.037358,0.146515,-0.040933,0.082681,6.37568,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.198122,-0.001745,-0.003153,-0.012454,-0.098026,-0.766365,-0.064401,-0.010924,0.290721,-0.104391,-0.034753,-0.074601,-0.04435,0.268158,0.140849,-0.267913,-0.02036,-0.090464,0.0,3.0,0.033746,0.125215,0.294167
20,3.60963,421.809998,0.264723,0.314754,1.217391,0.0,0.638702,65129.0,0.197139,0.698351,0.034199,0.164508,-0.041347,0.09619,6.379607,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.210603,-0.00193,-0.004011,-0.010524,-0.10965,-0.796466,-0.065898,-0.011565,0.303352,-0.102248,-0.035206,-0.076109,-0.050772,0.301802,0.166748,-0.278873,-0.02984,-0.083737,0.0,3.26087,0.035106,0.128343,0.276429
