iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-1.147317,19.74,0.008092,0.008582,1.583333,36.958336,0.976853,41070.0,0.006212,0.021137,0.000568,0.00521,-0.001848,0.002846,7.079448,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005824,-5.9e-05,-4.2e-05,-0.011385,-0.004037,-0.03894,-0.00262,-0.000359,0.008877,-0.004976,-0.001378,-0.003248,-0.001738,0.008316,0.00263,-0.013635,-1.8e-05,-3.6e-05,36.791668,4.791667,0.052546,0.132135,0.271062
1,-2.173049,39.41,0.022071,0.019618,11.75,0.0,0.94944,62527.0,0.018607,0.059178,0.003772,0.014351,-0.004466,0.007004,6.64152,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016054,-0.000164,-0.000244,-0.028867,-0.008549,-0.111395,-0.007023,-0.000868,0.021728,-0.013313,-0.003346,-0.007195,-0.003785,0.019142,0.007647,-0.037887,-0.000159,-0.000726,0.0,4.375,0.033728,0.145659,0.614445
2,-2.683378,59.049999,0.034584,0.033732,11.666667,0.0,0.920605,62052.0,0.028994,0.096955,0.006231,0.024416,-0.00748,0.013963,6.657995,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026267,-0.000265,-0.000385,-0.030461,-0.014449,-0.177038,-0.011344,-0.001465,0.037207,-0.02008,-0.005519,-0.011984,-0.006366,0.032553,0.013301,-0.060098,-0.000413,-0.001991,0.0,3.666667,0.0336,0.133201,0.641189
3,-2.957212,73.889999,0.044008,0.046452,10.041667,0.0,0.89075,62723.0,0.038415,0.130175,0.007258,0.030777,-0.009332,0.016797,6.635686,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.035338,-0.000357,-0.000506,-0.029488,-0.019397,-0.229508,-0.014798,-0.002005,0.049611,-0.026296,-0.006989,-0.01595,-0.008583,0.043201,0.01806,-0.077941,-0.000876,-0.003349,0.0,3.333333,0.033945,0.137628,0.636804
4,-3.55557,96.919998,0.058703,0.060659,10.416667,0.0,0.873907,61942.0,0.047919,0.167543,0.009134,0.040258,-0.01167,0.021511,6.592884,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.04494,-0.000448,-0.000763,-0.030649,-0.024576,-0.27783,-0.018907,-0.002612,0.063441,-0.032631,-0.009205,-0.020788,-0.010874,0.054388,0.022342,-0.09449,-0.001543,-0.006369,0.0,3.0,0.031412,0.145732,0.639022
5,-3.910223,120.099998,0.070588,0.07594,7.916667,0.0,0.849073,59812.0,0.058001,0.210591,0.011531,0.047396,-0.014075,0.025901,6.587303,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.056365,-0.000556,-0.000863,-0.028051,-0.029853,-0.334629,-0.02307,-0.003253,0.078842,-0.039479,-0.011215,-0.025052,-0.013197,0.075101,0.029795,-0.114155,-0.002765,-0.009032,0.0,3.333333,0.032469,0.143454,0.593966
6,-3.370618,132.139999,0.080927,0.088722,6.916667,0.0,0.828297,60523.0,0.068935,0.242873,0.012447,0.055683,-0.01609,0.030538,6.568653,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.066146,-0.000646,-0.001012,-0.025146,-0.035325,-0.378169,-0.026199,-0.00389,0.092317,-0.044825,-0.01258,-0.029459,-0.015644,0.086757,0.036798,-0.12929,-0.002308,-0.010676,0.0,3.833333,0.033519,0.141407,0.55128
7,-3.414737,148.119995,0.090033,0.096266,6.708333,0.0,0.806233,60486.0,0.071214,0.258886,0.013826,0.060543,-0.017143,0.035084,6.538362,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.071426,-0.000691,-0.001123,-0.027464,-0.038386,-0.391124,-0.027493,-0.004076,0.101853,-0.047114,-0.013654,-0.030273,-0.017233,0.101233,0.040479,-0.133945,-0.003861,-0.015048,0.0,3.125,0.031798,0.145706,0.59617
8,-3.062339,173.059998,0.11005,0.118363,5.583333,0.0,0.781743,54422.0,0.094508,0.314926,0.018271,0.074405,-0.021932,0.039111,6.535701,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.085358,-0.000813,-0.00139,-0.024269,-0.04766,-0.452535,-0.032523,-0.0048,0.127811,-0.055499,-0.016479,-0.037011,-0.021263,0.10124,0.048644,-0.155635,-0.006081,-0.016172,0.0,3.583333,0.029683,0.151079,0.524448
9,-3.033456,185.759995,0.117681,0.126794,6.416667,0.0,0.760889,41046.0,0.090327,0.329122,0.017185,0.072145,-0.020638,0.03912,6.50283,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.089596,-0.000856,-0.001382,-0.025973,-0.046497,-0.459816,-0.034287,-0.005063,0.126668,-0.058358,-0.017195,-0.038035,-0.020744,0.118369,0.050811,-0.158307,-0.004888,-0.019276,0.0,3.291667,0.030569,0.145923,0.548862
