iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
40,34.231441,908.630005,0.57902,0.596559,0.411765,0.0,0.783878,80183.0,0.466398,1.431216,0.115805,0.452968,-0.128547,0.270972,8.214161
41,35.002422,949.77002,0.612183,0.653296,0.052632,0.0,0.780138,74099.0,0.495891,1.531054,0.116871,0.468803,-0.134295,0.251889,8.233869
42,37.011375,997.280029,0.599557,0.654594,0.086957,0.0,0.776431,69650.0,0.491153,1.542747,0.125455,0.465998,-0.130744,0.294435,8.243389
43,39.740669,1000.0,0.623079,0.662966,0.041667,0.0,0.772669,67044.0,0.479935,1.536001,0.122228,0.461398,-0.131872,0.287649,8.25408
44,41.276314,1000.0,0.6081,0.646844,0.083333,0.0,0.770495,65340.0,0.48219,1.525673,0.122008,0.466428,-0.134862,0.301161,8.265648
45,39.17886,1000.0,0.609138,0.647192,0.041667,0.0,0.768215,66831.0,0.48098,1.522706,0.123803,0.47592,-0.137266,0.300493,8.282592
46,38.574306,1000.0,0.61695,0.660112,0.041667,0.0,0.765685,64962.0,0.477835,1.517081,0.121525,0.493387,-0.140631,0.29622,8.289923
47,41.471428,1000.0,0.61941,0.657531,0.041667,0.0,0.761354,67306.0,0.464668,1.521467,0.121469,0.473702,-0.13531,0.31538,8.318839
48,42.375557,1000.0,0.624319,0.667019,0.0,0.0,0.757812,67103.0,0.462696,1.515111,0.120255,0.478158,-0.135587,0.313452,8.290245
49,41.2896,1000.0,0.649625,0.685999,0.083333,0.0,0.756208,63903.0,0.454779,1.539917,0.119941,0.488615,-0.138934,0.312821,8.29538
50,42.995281,1000.0,0.678494,0.715511,0.083333,0.0,0.752761,58026.0,0.437426,1.558694,0.120056,0.46598,-0.130966,0.321167,8.323957
51,46.442444,996.51001,0.685708,0.725057,0.041667,0.0,0.750086,61426.0,0.437675,1.550852,0.117729,0.478779,-0.132527,0.340902,8.313993
52,45.010582,1000.0,0.71231,0.752705,0.0,0.0,0.748244,60357.0,0.431817,1.572384,0.121112,0.486707,-0.134973,0.35022,8.337559
53,44.866413,1000.0,0.685502,0.71019,0.0,0.0,0.745519,58784.0,0.429792,1.545579,0.119183,0.485832,-0.138809,0.335183,8.322635
54,47.040386,1000.0,0.761966,0.789369,0.0,0.0,0.743017,60742.0,0.410668,1.621877,0.118514,0.465948,-0.128789,0.365251,8.353303
55,48.526112,1000.0,0.755649,0.774572,0.0,0.0,0.740008,63503.0,0.413772,1.563003,0.122893,0.503183,-0.139841,0.385641,8.306772
56,51.122547,963.549988,0.725128,0.754187,0.208333,0.0,0.737755,58256.0,0.390438,1.515002,0.111338,0.443894,-0.122403,0.366047,8.336737
57,52.653904,990.940002,0.754014,0.777035,0.086957,0.0,0.735717,62660.0,0.396097,1.565638,0.113719,0.455401,-0.124997,0.388196,8.339964
58,53.023174,978.539978,0.759041,0.789529,0.130435,0.0,0.732936,61254.0,0.387451,1.54818,0.11636,0.442922,-0.120922,0.382568,8.362254
59,54.662914,999.900024,0.828631,0.843972,0.0,0.0,0.731297,61884.0,0.387385,1.616877,0.116239,0.440975,-0.121119,0.409633,8.359432
60,55.559509,1000.0,0.803124,0.834809,0.0,0.0,0.729899,54804.0,0.380559,1.610316,0.112462,0.4659,-0.125521,0.403707,8.350374
61,53.567574,991.630005,0.81956,0.846274,0.041667,0.0,0.72843,60534.0,0.379131,1.608163,0.117623,0.462241,-0.123629,0.396974,8.356176
62,53.808617,1000.0,0.837496,0.865553,0.0,0.0,0.726957,65732.0,0.369096,1.625296,0.110062,0.465382,-0.124262,0.357125,8.366886
63,54.184574,984.98999,0.82364,0.849842,0.090909,0.0,0.724873,68178.0,0.355427,1.580084,0.11242,0.452542,-0.122446,0.394732,8.340336
64,56.660141,987.530029,0.858931,0.880081,0.043478,0.0,0.722616,64871.0,0.363431,1.610489,0.110858,0.492699,-0.13143,0.391131,8.362032
