iteration,distance_mm,distance_mm_sd,distance_mm_worst,speed_mms,speed_mms_sd,speed_mms_worst,drift_mm,drift_mm_sd,drift_mm_worst,upright_min,upright_min_worst,height_mm,fell,fall_rate,foot_force_p99_n,foot_force_p99_n_sd,foot_force_p99_n_worst,joint_acc_rms,joint_acc_rms_worst,power_mean_w,cost_of_transport,track_mae_mms,track_mae_mms_sd,track_mae_mms_worst,top_speed_mms,top_speed_mms_worst,n_trials,grid,video
1000,191.9,16.8,165.7,16.0,1.4,13.8,64.5,58.6,132.4,0.995,0.993,169.1,0,0.0,26.87,6.94,32.45,63.26,74.66,6.667,26.34,37.8,20.8,66.5,17.1,13.5,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1000.mp4
1050,177.1,17.5,153.0,14.8,1.5,12.7,60.6,49.3,122.6,0.995,0.993,169.2,0,0.0,26.91,7.05,33.44,63.39,75.64,6.719,28.79,38.8,21.0,67.1,16.0,12.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1050.mp4
1100,217.8,39.0,169.3,18.2,3.3,14.1,57.1,71.6,152.4,0.995,0.993,169.6,0,0.0,27.34,7.27,33.58,63.69,76.39,6.673,23.71,36.5,19.6,62.5,19.7,17.5,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1100.mp4
1150,231.0,31.2,186.5,19.2,2.6,15.5,57.4,62.8,144.3,0.995,0.993,169.6,0,0.0,27.38,7.23,33.55,63.66,76.34,6.657,22.05,35.2,18.7,61.1,22.1,18.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1150.mp4
1200,233.4,37.7,192.8,19.5,3.1,16.1,49.2,59.4,139.1,0.995,0.993,169.8,0,0.0,27.44,7.06,33.08,63.73,76.88,6.633,21.84,34.9,19.0,62.0,22.0,18.0,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1200.mp4
1250,231.6,28.4,188.1,19.3,2.4,15.7,53.9,40.6,121.0,0.995,0.993,169.9,0,0.0,27.51,6.86,33.41,63.98,77.27,6.603,21.75,35.0,18.9,62.6,22.1,17.4,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1250.mp4
1300,245.0,26.8,202.8,20.4,2.2,16.9,67.8,48.0,151.2,0.995,0.993,170.0,0,0.0,27.33,6.56,33.65,63.82,76.69,6.577,20.42,34.4,19.1,60.7,22.3,19.3,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1300.mp4
1350,239.5,26.9,209.1,20.0,2.2,17.4,67.8,43.8,132.2,0.995,0.993,170.2,0,0.0,27.37,6.43,33.88,63.82,76.84,6.535,20.76,33.7,18.4,59.4,24.2,20.6,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1350.mp4
1400,251.4,33.8,218.8,20.9,2.8,18.2,68.8,46.6,147.6,0.994,0.993,170.4,0,0.0,27.88,6.4,34.59,64.21,76.65,6.488,19.71,32.7,18.1,56.7,25.7,23.3,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1400.mp4
1450,263.8,34.6,228.0,22.0,2.9,19.0,78.5,46.6,160.6,0.995,0.993,170.5,0,0.0,28.16,6.3,34.71,64.29,77.2,6.465,18.7,31.9,17.6,55.4,27.0,24.6,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1450.mp4
1500,270.6,26.4,243.3,22.5,2.2,20.3,82.2,59.2,186.3,0.995,0.993,170.6,0,0.0,28.13,6.24,34.37,64.12,77.01,6.433,18.04,31.2,16.9,54.6,28.5,25.4,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1500.mp4
1550,271.1,30.4,244.0,22.6,2.5,20.3,83.9,56.8,181.7,0.995,0.993,170.7,0,0.0,27.63,6.48,33.98,64.01,76.81,6.403,17.96,31.3,16.7,53.3,28.6,26.7,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1550.mp4
1600,295.9,34.1,262.0,24.7,2.8,21.8,95.1,43.7,166.4,0.995,0.993,170.7,0,0.0,27.46,6.03,33.28,63.76,76.49,6.372,16.38,30.3,16.4,53.1,29.6,26.9,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1600.mp4
1650,303.0,24.5,277.1,25.3,2.0,23.1,88.7,58.3,180.1,0.995,0.994,170.9,0,0.0,27.51,6.02,33.29,63.46,76.47,6.312,15.76,30.0,16.2,53.0,29.8,27.0,15,3c x 5s x 1d,progress/runs/2026-08-01_20-58-31_A_base/videos/iter_1650.mp4
