iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
11,-2.316482,233.660004,0.140966,0.163818,4.625,0.0,0.728478,68291.0,0.151297,0.396239,0.021869,0.095205,-0.025674,0.044738,10.356973,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114432,-0.00107,-0.001935,0.0,-0.023585,-0.092836,-0.556835,-0.041149,-0.006549,0.1657,-0.068072,-0.021032,-0.046584,-0.025808,0.212485,0.073276,-0.191639,-0.010454,-0.031625,0.0,3.333333,0.030918,0.138457,0.518347
12,-1.343138,224.759995,0.146709,0.164822,5.0,0.0,0.71603,77182.0,0.143772,0.400362,0.021514,0.091909,-0.025595,0.04047,10.318979,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.114716,-0.001073,-0.001855,0.0,-0.024937,-0.091702,-0.538729,-0.041156,-0.006432,0.165887,-0.067392,-0.020612,-0.046098,-0.02565,0.210166,0.073857,-0.186041,-0.008428,-0.030187,0.0,3.166667,0.030561,0.144845,0.519156
13,-1.189805,273.899994,0.168539,0.189696,4.416667,0.0,0.704303,77516.0,0.171673,0.464192,0.025115,0.10569,-0.02848,0.044462,10.309021,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.1327,-0.001238,-0.00218,0.0,-0.022085,-0.103435,-0.595195,-0.046106,-0.007281,0.190074,-0.076803,-0.024082,-0.051708,-0.029058,0.242025,0.08697,-0.206381,-0.01164,-0.043555,0.0,3.5,0.031058,0.1407,0.475929
14,-1.663638,274.149994,0.17416,0.18807,3.875,0.0,0.69336,77700.0,0.204714,0.454055,0.026165,0.112556,-0.029828,0.037963,10.31658,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.130791,-0.001198,-0.002268,0.0,-0.023882,-0.107628,-0.567536,-0.044681,-0.007197,0.195336,-0.074736,-0.0242,-0.051908,-0.0301,0.18676,0.086649,-0.197339,-0.010772,-0.038459,0.0,2.666667,0.029133,0.140953,0.503037
15,0.03006,282.059998,0.164126,0.191308,4.166667,0.0,0.683251,77586.0,0.165111,0.457515,0.023763,0.095978,-0.027359,0.044447,10.307357,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.133376,-0.001232,-0.002339,0.0,-0.023064,-0.100365,-0.561974,-0.044503,-0.007318,0.188583,-0.074103,-0.023622,-0.051564,-0.028386,0.263536,0.091254,-0.195693,-0.009191,-0.041191,0.0,3.041667,0.02968,0.139914,0.509731
16,1.784249,326.619995,0.22264,0.243664,2.375,0.0,0.67403,77180.0,0.216214,0.56425,0.034152,0.133092,-0.035506,0.061861,10.300494,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.1659,-0.001498,-0.002939,0.0,-0.018381,-0.12658,-0.690635,-0.055429,-0.009,0.24281,-0.091567,-0.029377,-0.063766,-0.035884,0.310978,0.115526,-0.240532,-0.014509,-0.047175,0.0,2.5,0.030379,0.147847,0.421944
17,1.07487,345.640015,0.23638,0.24668,2.478261,0.0,0.666155,78918.0,0.220532,0.574219,0.033784,0.129402,-0.035878,0.057073,10.294355,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.168915,-0.001486,-0.002854,0.0,-0.018383,-0.124012,-0.6897,-0.056751,-0.009256,0.245229,-0.093125,-0.030884,-0.066181,-0.034693,0.308754,0.114352,-0.240481,-0.01567,-0.065447,0.0,3.130435,0.024584,0.141931,0.423271
18,0.680845,350.929993,0.220263,0.266508,1.826087,0.0,0.659171,75499.0,0.250112,0.589823,0.034674,0.143769,-0.038423,0.053551,10.262389,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.178552,-0.001637,-0.003601,0.0,-0.0157,-0.143198,-0.70952,-0.057289,-0.009399,0.267631,-0.095426,-0.030999,-0.066644,-0.041075,0.293041,0.130112,-0.24801,-0.026115,-0.074795,0.0,3.0,0.031119,0.127621,0.365922
19,2.722688,406.910004,0.247989,0.277635,1.521739,0.0,0.65126,80449.0,0.253444,0.629067,0.037847,0.164847,-0.041466,0.075502,10.274714,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.196882,-0.00178,-0.003427,0.0,-0.017487,-0.163661,-0.765611,-0.061276,-0.010414,0.295212,-0.098018,-0.032407,-0.071046,-0.046922,0.367277,0.159178,-0.267842,-0.027633,-0.079615,0.0,2.478261,0.035397,0.142876,0.375713
20,2.437379,406.149994,0.262273,0.297503,1.608696,0.0,0.644184,79988.0,0.289881,0.680445,0.036353,0.167009,-0.042764,0.068317,10.25886,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.209564,-0.00192,-0.003969,0.0,-0.013805,-0.170355,-0.797995,-0.066342,-0.011397,0.307265,-0.10461,-0.035092,-0.076842,-0.048934,0.360415,0.166094,-0.279954,-0.032025,-0.078256,0.0,2.695652,0.032694,0.140109,0.339591
