iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7508,48.867348,272.609985,0.209853,0.225117,0.541667,0.041667,0.064322,42579.0,0.059925,0.080536,0.042479,0.097707,-0.017953,0.161505,10.966122,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.133401,-0.043968,-0.005171,0.0,-0.005726,-0.039443,-0.006708,-0.005867,-0.009253,0.210253,-0.037703,-0.057868,-0.005262,-0.008502,0.458889,1.109835,-0.029345,-0.000694,-0.010859,0.166667,0.0,4.625,0.048523,0.146181,0.181748
7509,51.746098,293.589996,0.228222,0.23896,0.5,0.0,0.064427,41820.0,0.062466,0.08953,0.046882,0.099349,-0.01977,0.170601,11.015791,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.147911,-0.047309,-0.007468,0.0,-0.006673,-0.041912,-0.007627,-0.006291,-0.010896,0.2208,-0.040217,-0.058633,-0.005012,-0.008261,0.510846,1.228245,-0.033337,-0.000546,-0.020629,0.333333,0.0,4.041667,0.076202,0.171535,0.215186
7510,57.953049,317.040009,0.261897,0.261187,0.391304,0.086957,0.064477,42586.0,0.063031,0.086825,0.050366,0.101125,-0.018318,0.186411,10.960395,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.157196,-0.045024,-0.004918,0.0,-0.003227,-0.044808,-0.006957,-0.005434,-0.010657,0.256425,-0.028163,-0.046791,-0.00439,-0.012208,0.555351,1.331903,-0.028465,-0.000604,-0.022478,0.217391,0.0,4.652174,0.065131,0.118117,0.156182
7511,62.343262,344.779999,0.280743,0.294751,0.333333,0.0,0.064663,38992.0,0.066052,0.098943,0.054109,0.116879,-0.021162,0.217211,10.973589,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.17154,-0.052382,-0.00699,0.0,-0.003254,-0.050893,-0.008086,-0.00661,-0.012275,0.278738,-0.034567,-0.056978,-0.004799,-0.01132,0.605472,1.444206,-0.034639,-0.000776,-0.024474,0.208333,0.0,4.166667,0.057736,0.121756,0.137846
7512,64.423149,366.089996,0.288689,0.302527,0.375,0.0,0.064951,42856.0,0.102992,0.113377,0.061531,0.138845,-0.026112,0.232432,10.673011,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.183147,-0.057563,-0.011331,0.0,-0.004282,-0.059483,-0.009902,-0.008338,-0.014267,0.284119,-0.040553,-0.075197,-0.005736,-0.01158,0.60588,1.509793,-0.044934,-0.001449,-0.035097,0.208333,0.0,3.916667,0.093542,0.124186,0.169667
7513,68.521645,386.75,0.318938,0.314618,0.391304,0.0,0.065234,42093.0,0.083274,0.118396,0.065981,0.113964,-0.022247,0.224709,10.728305,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.194052,-0.057994,-0.008602,0.0,-0.005002,-0.045811,-0.008775,-0.006237,-0.011514,0.318327,-0.047474,-0.07429,-0.00508,-0.01202,0.678688,1.623132,-0.032956,-0.011515,-0.036305,0.217391,0.0,3.652174,0.072637,0.133017,0.192372
7514,68.175583,393.920013,0.309306,0.317283,0.666667,0.0,0.065581,37827.0,0.097914,0.122676,0.063048,0.140391,-0.027852,0.230619,10.742249,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.196193,-0.064193,-0.00944,0.0,-0.007341,-0.056439,-0.010355,-0.008448,-0.014434,0.310239,-0.05781,-0.079065,-0.00639,-0.010896,0.652703,1.624268,-0.045897,-0.0012,-0.035821,0.541667,0.0,4.5,0.089392,0.162285,0.214683
7515,77.232544,430.899994,0.342007,0.356156,0.416667,0.0,0.065697,36263.0,0.095813,0.124899,0.071239,0.150839,-0.026856,0.267091,10.801744,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.215304,-0.061224,-0.011303,0.0,-0.003634,-0.05527,-0.010025,-0.007851,-0.014266,0.335223,-0.039296,-0.068473,-0.005616,-0.011899,0.738932,1.805176,-0.042352,-0.001187,-0.042162,0.166667,0.0,4.208333,0.068869,0.126163,0.181936
7516,80.684464,461.290009,0.367485,0.377474,0.166667,0.041667,0.065976,37054.0,0.093592,0.138877,0.070289,0.159232,-0.02987,0.270669,10.852641,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.231127,-0.071488,-0.009175,0.0,-0.004897,-0.067437,-0.011566,-0.00924,-0.016946,0.362914,-0.051151,-0.086132,-0.007026,-0.015069,0.802072,1.919511,-0.050554,-0.007602,-0.05274,0.458333,0.0,4.0,0.084302,0.130364,0.190596
7517,85.392799,481.079987,0.37364,0.391548,0.333333,0.0,0.06649,42591.0,0.101946,0.133422,0.069718,0.135837,-0.026149,0.244055,10.943142,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.235589,-0.069564,-0.009227,0.0,-0.00379,-0.062568,-0.010903,-0.007917,-0.015591,0.37073,-0.044201,-0.071463,-0.005802,-0.016063,0.815533,1.99596,-0.04379,-0.002031,-0.052721,0.208333,0.0,4.291667,0.064049,0.145152,0.175303
7518,90.826584,505.040009,0.402332,0.425024,0.458333,0.0,0.066829,55800.0,0.105602,0.145498,0.080349,0.168832,-0.029669,0.294827,10.807699,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.251478,-0.07265,-0.010279,0.0,-0.00478,-0.065339,-0.011881,-0.008888,-0.01645,0.402865,-0.051136,-0.085107,-0.006884,-0.013933,0.866927,2.10597,-0.049015,-0.002403,-0.057334,0.25,0.0,3.916667,0.075782,0.138848,0.173095
7519,90.54081,512.580017,0.413318,0.42693,0.291667,0.0,0.067025,54958.0,0.110329,0.153142,0.078481,0.175945,-0.03241,0.310134,10.924826,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.255828,-0.083148,-0.010335,0.0,-0.006742,-0.074904,-0.012853,-0.010185,-0.01849,0.404354,-0.064896,-0.087173,-0.00741,-0.015325,0.878297,2.137421,-0.056006,-0.001851,-0.06449,0.416667,0.0,3.75,0.093539,0.179852,0.22192
7520,95.892494,541.809998,0.43452,0.447688,0.375,0.0,0.067151,55621.0,0.121096,0.162741,0.088339,0.195423,-0.036945,0.345317,10.853893,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.26674,-0.0826,-0.011734,0.0,-0.005661,-0.078036,-0.013588,-0.011189,-0.020129,0.422071,-0.057679,-0.091404,-0.008025,-0.016567,0.901043,2.218432,-0.060478,-0.002208,-0.091976,0.333333,0.0,4.458333,0.079664,0.124367,0.193689
7521,101.604324,568.799988,0.446549,0.467036,0.291667,0.0,0.067472,55192.0,0.108084,0.166622,0.085406,0.180361,-0.033613,0.322302,10.899631,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.283691,-0.085689,-0.011584,0.0,-0.003463,-0.077811,-0.013147,-0.009914,-0.018792,0.448394,-0.051493,-0.083565,-0.00725,-0.019441,1.004348,2.395524,-0.053831,-0.002028,-0.066042,0.25,0.0,4.166667,0.060055,0.125672,0.151365
7522,107.123268,596.460022,0.477947,0.498219,0.625,0.0,0.067848,55408.0,0.118749,0.171295,0.101881,0.198026,-0.036485,0.362691,10.783659,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.296089,-0.087097,-0.009989,0.0,-0.005198,-0.07757,-0.01436,-0.010616,-0.019587,0.483665,-0.058698,-0.105366,-0.007753,-0.017503,1.041796,2.486094,-0.058807,-0.002235,-0.094546,0.166667,0.0,4.166667,0.087466,0.139959,0.1904
7523,104.970985,595.52002,0.489647,0.491897,0.583333,0.0,0.068132,54913.0,0.115753,0.174843,0.097118,0.200135,-0.038773,0.36802,11.023631,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.301055,-0.093523,-0.011655,0.0,-0.005606,-0.082643,-0.014685,-0.011486,-0.0213,0.47459,-0.054197,-0.091163,-0.008106,-0.017898,1.067924,2.531554,-0.062264,-0.001409,-0.13081,0.375,0.0,4.041667,0.07516,0.140541,0.192957
7524,113.209312,643.929993,0.537885,0.530885,0.333333,0.0,0.068447,55383.0,0.131669,0.194688,0.103789,0.21609,-0.039742,0.386394,11.02212,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.324757,-0.099612,-0.02187,0.0,-0.003132,-0.083123,-0.015702,-0.011411,-0.021156,0.504029,-0.064546,-0.105438,-0.008727,-0.01848,1.133317,2.716061,-0.064394,-0.004077,-0.119961,0.25,0.041667,3.708333,0.085245,0.144837,0.170111
7525,106.700089,623.23999,0.496308,0.514312,0.695652,0.0,0.068638,56256.0,0.149993,0.20571,0.099825,0.223397,-0.03997,0.381668,10.908407,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.312509,-0.09699,-0.017077,0.0,-0.006938,-0.086736,-0.015707,-0.012349,-0.02136,0.486932,-0.065875,-0.098801,-0.008562,-0.018184,1.050456,2.576909,-0.067898,-0.001684,-0.188219,0.347826,0.043478,4.0,0.105519,0.161576,0.204164
7526,122.291313,691.840027,0.553899,0.564667,0.291667,0.041667,0.068856,55163.0,0.124177,0.203351,0.100877,0.214149,-0.039079,0.393755,10.909266,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.343188,-0.107461,-0.011946,0.0,-0.004655,-0.086996,-0.015815,-0.011246,-0.021596,0.556312,-0.06104,-0.100195,-0.008693,-0.01966,1.220467,2.893972,-0.063277,-0.002329,-0.222307,0.166667,0.0,4.125,0.076027,0.142038,0.174926
