iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1499,2.083794,19.620001,0.008357,0.009667,0.041667,42.416668,0.047937,28635.0,0.004254,0.004459,0.000162,0.003565,-0.000644,0.003019,16.268423,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.005566,-0.003703,-4.9e-05,-0.020333,-0.010056,-0.000385,-0.000621,-0.000793,0.008671,-0.006465,-0.00437,-0.001431,-0.001093,0.013574,0.042236,-0.001142,-5e-06,-2e-06,36.791668,0.0,3.958333,0.092691,0.099978,0.14396
1500,2.739405,40.619999,0.025352,0.026874,0.916667,3.666667,0.04821,6995.0,0.017843,0.020256,0.0022,0.015067,-0.002336,0.012979,15.180896,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.016567,-0.010232,-0.000452,-0.02411,-0.013734,-0.001174,-0.001311,-0.0018,0.023987,-0.028659,-0.015837,-0.002797,-0.002642,0.024149,0.106859,-0.004692,-0.000118,-0.000132,4.041667,0.0,5.041667,0.050016,0.203893,0.22628
1501,5.200166,60.07,0.04076,0.041203,2.458333,1.375,0.048463,6865.0,0.038577,0.034355,0.004872,0.027122,-0.004189,0.021221,14.543799,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.026746,-0.016064,-0.0015,-0.026935,-0.020448,-0.001862,-0.001978,-0.002784,0.036807,-0.037667,-0.022308,-0.004399,-0.004229,0.029035,0.156017,-0.007714,-0.000278,-0.000778,5.875,0.0,4.541667,0.049698,0.278503,0.363561
1502,9.680504,81.580002,0.054214,0.057227,1.708333,1.791667,0.048818,6947.0,0.043735,0.04054,0.007452,0.034081,-0.005173,0.031785,13.585125,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.037139,-0.020626,-0.002207,-0.023288,-0.021561,-0.002101,-0.002269,-0.003741,0.051989,-0.034484,-0.022416,-0.004052,-0.004428,0.057511,0.243844,-0.009093,-0.000736,-0.001683,2.75,0.0,3.875,0.051933,0.200542,0.364629
1503,12.180424,96.419998,0.070658,0.072984,1.375,1.166667,0.04918,6977.0,0.045304,0.046238,0.008789,0.038072,-0.006177,0.041596,13.391476,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.046481,-0.025069,-0.002266,-0.019997,-0.025521,-0.002638,-0.00284,-0.004602,0.067934,-0.03683,-0.026435,-0.005342,-0.005485,0.087028,0.319013,-0.011446,-0.000391,-0.001515,2.166667,0.0,4.208333,0.043316,0.202691,0.325799
