iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,-13.735759,20.379999,0.02262,-0.001225,1.541667,0.0,0.977995,8028.0
1,-29.982721,46.630001,0.062663,-0.007648,16.833334,0.0,0.95435,8566.0
2,-42.201862,67.019997,0.101761,-0.010913,20.291668,0.0,0.940614,9239.0
3,-54.685688,91.07,0.137653,-0.01251,20.5,0.0,0.928592,9277.0
4,-57.812862,99.110001,0.171248,-0.012844,25.125,0.0,0.913771,8570.0
5,-67.595184,120.459999,0.196365,-0.013115,38.666668,0.0,0.897584,3076.0
6,-71.754082,131.830002,0.217875,-0.013677,43.958336,0.0,0.880608,3414.0
7,-64.647346,124.550003,0.232781,-0.013738,43.833336,0.0,0.866019,2635.0
8,-70.293076,140.240005,0.242139,-0.014188,42.958336,0.0,0.852647,3505.0
9,-61.062256,129.289993,0.236902,-0.015162,32.125,0.0,0.839865,2588.0
10,-66.938522,146.419998,0.243572,-0.014432,34.333336,0.0,0.826399,1377.0
11,-58.397575,136.5,0.249679,-0.014218,42.375,0.0,0.814498,4964.0
12,-55.89183,136.339996,0.249751,-0.01416,51.375,0.0,0.803182,5080.0
13,-57.729156,146.630005,0.249335,-0.013956,61.041668,0.0,0.792259,4849.0
14,-47.675499,128.610001,0.240003,-0.013963,61.041668,0.0,0.78238,4774.0
15,-35.516476,100.419998,0.215696,-0.013342,68.666672,0.0,0.77032,4632.0
16,-41.54129,120.0,0.199019,-0.012932,79.041672,0.0,0.759027,4548.0
17,-27.54981,85.959999,0.177421,-0.01215,97.041672,0.0,0.745791,4529.0
18,-18.183805,64.790001,0.148197,-0.010903,120.666672,0.0,0.734347,4574.0
19,-15.358747,56.599998,0.1226,-0.009895,152.041672,0.0,0.725658,11053.0
20,-10.032837,39.009998,0.090509,-0.008442,184.5,0.0,0.719103,11124.0
21,-8.193342,33.200001,0.066803,-0.007261,223.416672,0.0,0.715601,11536.0
22,-6.950231,27.549999,0.051107,-0.006397,264.083344,0.0,0.713847,11870.0
