iteration,distance_mm,distance_mm_sd,distance_mm_worst,speed_mms,speed_mms_sd,speed_mms_worst,drift_mm,drift_mm_sd,drift_mm_worst,upright_min,upright_min_worst,height_mm,fell,fall_rate,foot_force_p99_n,foot_force_p99_n_sd,foot_force_p99_n_worst,joint_acc_rms,joint_acc_rms_worst,power_mean_w,cost_of_transport,track_mae_mms,track_mae_mms_sd,track_mae_mms_worst,top_speed_mms,top_speed_mms_worst,n_trials,grid,video
1050,489.4,25.6,451.4,40.8,2.1,37.6,48.9,18.9,67.7,0.988,0.986,162.5,0,0.0,20.23,4.81,26.14,51.43,62.7,6.474,9.98,6.3,5.4,15.3,73.6,69.3,15,3c x 5s x 1d,progress\videos\iter_1050.mp4
1100,387.3,18.3,359.9,32.3,1.5,30.0,66.9,22.6,98.9,0.987,0.985,161.7,0,0.0,20.23,4.03,24.62,53.99,67.58,6.929,13.49,16.6,9.2,28.7,55.5,51.3,15,3c x 5s x 1d,progress\videos\iter_1100.mp4
1150,417.7,22.7,383.1,34.8,1.9,31.9,37.0,17.6,66.2,0.988,0.985,160.6,0,0.0,19.9,4.0,23.23,53.09,67.08,6.85,12.37,11.6,6.1,21.0,68.3,63.4,15,3c x 5s x 1d,progress\videos\iter_1150.mp4
1200,429.7,14.0,418.6,35.8,1.2,34.9,85.7,36.5,132.3,0.986,0.985,160.2,0,0.0,21.01,3.77,25.41,53.11,65.65,6.881,12.07,11.7,4.8,18.0,68.2,65.3,15,3c x 5s x 1d,progress\videos\iter_1200.mp4
1250,445.2,17.4,417.1,37.1,1.4,34.8,30.4,15.8,55.8,0.986,0.985,159.2,0,0.0,20.06,4.95,24.04,53.05,67.44,7.165,12.13,12.7,6.1,22.0,62.5,58.0,15,3c x 5s x 1d,progress\videos\iter_1250.mp4
1300,443.4,18.3,419.3,36.9,1.5,34.9,74.4,16.7,96.6,0.987,0.986,159.0,0,0.0,20.34,4.5,24.17,53.37,66.4,7.105,12.08,12.4,5.5,19.3,63.8,60.7,15,3c x 5s x 1d,progress\videos\iter_1300.mp4
1350,516.0,14.7,494.5,43.0,1.2,41.2,30.6,16.7,42.0,0.988,0.986,157.9,0,0.0,19.72,4.39,23.59,53.67,66.9,7.079,10.34,11.0,7.9,21.9,59.1,58.1,15,3c x 5s x 1d,progress\videos\iter_1350.mp4
1400,452.8,30.4,410.1,37.7,2.5,34.2,53.7,15.5,72.4,0.986,0.984,158.7,0,0.0,20.29,4.27,23.82,55.02,69.68,7.152,11.94,13.5,9.8,25.3,55.9,54.7,15,3c x 5s x 1d,progress\videos\iter_1400.mp4
1450,462.3,22.9,421.5,38.5,1.9,35.1,54.7,18.9,75.1,0.986,0.985,158.3,0,0.0,19.84,2.83,22.85,53.86,68.29,7.071,11.54,13.3,7.4,22.2,58.7,57.8,15,3c x 5s x 1d,progress\videos\iter_1450.mp4
1500,401.6,9.7,390.2,33.5,0.8,32.5,253.5,24.7,282.4,0.986,0.984,157.9,0,0.0,20.2,4.65,26.29,55.19,69.45,7.261,13.62,17.6,9.3,29.7,52.7,50.3,15,3c x 5s x 1d,progress\videos\iter_1500.mp4
1550,484.1,19.6,457.3,40.3,1.6,38.1,100.1,34.7,148.1,0.985,0.984,157.5,0,0.0,19.17,4.17,22.74,55.09,68.75,7.193,11.2,14.5,12.0,30.8,50.5,49.2,15,3c x 5s x 1d,progress\videos\iter_1550.mp4
1600,439.1,30.3,398.0,36.6,2.5,33.2,17.9,25.4,61.5,0.986,0.985,157.6,0,0.0,19.21,4.34,24.33,54.64,69.73,7.149,12.3,15.4,8.6,25.9,55.0,54.1,15,3c x 5s x 1d,progress\videos\iter_1600.mp4
1650,433.4,25.1,394.4,36.1,2.1,32.9,30.6,21.6,67.3,0.985,0.984,157.5,0,0.0,19.68,4.2,23.3,53.83,68.56,6.926,12.07,16.8,8.9,27.9,52.7,52.1,15,3c x 5s x 1d,progress\videos\iter_1650.mp4
1700,454.7,10.6,436.7,37.9,0.9,36.4,92.7,25.0,119.9,0.985,0.984,157.0,0,0.0,19.75,4.59,24.2,54.36,68.71,7.152,11.85,14.9,10.4,29.4,53.1,50.6,15,3c x 5s x 1d,progress\videos\iter_1700.mp4
1750,474.6,22.7,439.7,39.5,1.9,36.6,48.3,18.2,69.6,0.985,0.985,156.1,0,0.0,19.96,5.05,25.56,56.37,72.22,7.473,11.88,12.3,8.6,24.9,58.2,55.1,15,3c x 5s x 1d,progress\videos\iter_1750.mp4
1800,361.7,35.5,326.7,30.1,3.0,27.2,37.1,33.4,72.4,0.985,0.984,156.2,0,0.0,20.46,5.17,25.72,57.42,73.09,7.559,15.86,17.2,10.7,29.7,54.2,50.3,15,3c x 5s x 1d,progress\videos\iter_1800.mp4
1850,301.4,29.7,257.5,25.1,2.5,21.5,207.3,52.3,293.9,0.986,0.985,156.0,0,0.0,21.31,4.79,26.21,58.56,73.58,7.441,18.74,19.8,13.4,31.4,49.9,48.8,15,3c x 5s x 1d,progress\videos\iter_1850.mp4
1900,324.2,25.8,279.6,27.0,2.1,23.3,188.8,36.4,242.1,0.985,0.984,155.4,0,0.0,20.02,4.68,24.22,57.38,72.22,7.341,17.15,16.8,11.3,29.6,57.2,54.7,15,3c x 5s x 1d,progress\videos\iter_1900.mp4
1950,353.4,25.3,325.6,29.5,2.1,27.1,162.2,39.7,218.6,0.986,0.984,155.3,0,0.0,20.74,5.31,25.77,58.32,74.3,7.446,15.93,18.2,8.7,27.7,55.5,52.3,15,3c x 5s x 1d,progress\videos\iter_1950.mp4
2000,303.1,14.0,290.3,25.3,1.2,24.2,181.5,36.5,225.0,0.986,0.985,155.2,0,0.0,20.72,4.99,25.33,58.75,74.51,7.61,18.93,20.6,11.5,32.3,50.9,47.7,15,3c x 5s x 1d,progress\videos\iter_2000.mp4
2050,259.5,14.9,246.9,21.6,1.2,20.6,173.2,24.0,193.0,0.986,0.984,155.0,0,0.0,20.77,5.5,26.16,58.62,75.35,7.518,21.86,23.6,15.3,43.5,43.9,36.5,15,3c x 5s x 1d,progress\videos\iter_2050.mp4
2100,285.1,63.2,196.9,23.8,5.3,16.4,202.5,13.9,222.8,0.986,0.984,155.2,0,0.0,21.08,5.18,25.62,58.85,75.01,7.716,21.32,20.8,12.0,36.5,52.4,44.7,15,3c x 5s x 1d,progress\videos\iter_2100.mp4
2150,485.6,10.6,469.5,40.5,0.9,39.1,48.1,41.0,105.0,0.987,0.985,154.6,0,0.0,22.69,5.65,28.48,59.33,75.03,7.594,11.78,9.4,5.1,17.5,68.9,62.5,15,3c x 5s x 1d,progress\videos\iter_2150.mp4
2200,379.0,37.5,339.8,31.6,3.1,28.3,175.2,30.0,203.2,0.986,0.985,154.3,0,0.0,22.34,5.18,27.29,58.21,74.65,7.606,15.22,13.0,7.0,24.6,69.3,64.2,15,3c x 5s x 1d,progress\videos\iter_2200.mp4
2250,405.9,30.6,359.4,33.8,2.6,30.0,197.7,18.0,223.2,0.985,0.983,154.3,0,0.0,22.77,5.03,27.4,58.74,75.63,7.686,14.33,16.3,5.6,24.5,59.4,55.5,15,3c x 5s x 1d,progress\videos\iter_2250.mp4
2300,409.4,19.6,383.8,34.1,1.6,32.0,266.2,10.3,274.7,0.984,0.981,154.0,0,0.0,23.54,5.19,28.73,60.16,76.65,7.738,14.25,15.7,4.0,20.9,62.1,60.9,15,3c x 5s x 1d,progress\videos\iter_2300.mp4
2350,287.5,38.7,236.6,24.0,3.2,19.7,251.7,10.6,265.7,0.984,0.98,153.5,0,0.0,22.75,4.99,26.71,60.54,76.96,7.835,20.82,24.2,10.4,35.4,46.8,44.6,15,3c x 5s x 1d,progress\videos\iter_2350.mp4
