iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1510,45.110626,255.229996,0.214343,0.200814,3.875,0.041667,0.052948,55431.0,0.045466,0.082642,0.042699,0.093869,-0.015683,0.186316,9.404741,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.12403,-0.040993,-0.002103,-0.022126,-0.037685,-0.005559,-0.005316,-0.010407,0.214354,-0.054231,-0.057674,-0.005916,-0.00763,0.41001,1.001787,-0.025129,-0.000791,-0.009683,2.75,0.0,4.208333,0.07517,0.441058,0.286761
1511,50.763649,291.019989,0.227522,0.216185,3.958333,0.041667,0.05332,54541.0,0.04879,0.087058,0.042163,0.09711,-0.015634,0.191209,9.227379,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.136678,-0.046372,-0.003257,-0.022985,-0.037176,-0.005793,-0.00536,-0.010764,0.232,-0.055369,-0.058902,-0.006588,-0.008309,0.451263,1.113095,-0.024911,-0.001631,-0.014038,2.75,0.0,3.666667,0.075574,0.421107,0.330952
1512,53.603477,298.589996,0.246742,0.227353,3.458333,0.083333,0.053674,55209.0,0.049112,0.089154,0.047424,0.099298,-0.015303,0.207196,9.104897,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.144982,-0.04681,-0.003734,-0.020742,-0.035843,-0.005603,-0.004937,-0.010355,0.252464,-0.047166,-0.056376,-0.005874,-0.008467,0.486561,1.203047,-0.023579,-0.000759,-0.01525,2.25,0.0,4.208333,0.068432,0.38822,0.329004
1513,54.755573,307.329987,0.265347,0.252204,3.958333,0.0,0.054142,55483.0,0.055483,0.097763,0.051027,0.110119,-0.017155,0.22915,9.166644,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.156788,-0.050173,-0.003714,-0.022717,-0.040065,-0.00618,-0.005217,-0.011563,0.270146,-0.051701,-0.057759,-0.006357,-0.00936,0.514273,1.287305,-0.026049,-0.000705,-0.017433,1.916667,0.0,3.916667,0.072615,0.393957,0.325548
1514,60.415775,337.440002,0.286568,0.271931,2.458333,0.0,0.054532,55657.0,0.056418,0.108458,0.050221,0.106205,-0.016432,0.218109,9.053768,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.168459,-0.054965,-0.004395,-0.018697,-0.041755,-0.006524,-0.005411,-0.01181,0.290449,-0.046341,-0.062783,-0.006363,-0.009405,0.560771,1.386755,-0.026331,-0.000927,-0.018441,1.375,0.0,4.0,0.063401,0.355968,0.309996
1515,60.351173,343.190002,0.276609,0.261073,2.458333,0.083333,0.054798,55579.0,0.058476,0.106647,0.050087,0.102699,-0.015765,0.216824,8.84915,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.168434,-0.053208,-0.005908,-0.020307,-0.037357,-0.006351,-0.005032,-0.01097,0.290486,-0.04753,-0.061295,-0.006449,-0.009726,0.557269,1.39817,-0.024731,-0.001145,-0.018509,1.5,0.0,3.666667,0.065209,0.380485,0.302506
1516,68.054321,375.019989,0.319784,0.298684,2.5,0.041667,0.055216,55398.0,0.062316,0.112861,0.054696,0.109214,-0.016803,0.233981,9.01005,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.187761,-0.058153,-0.005962,-0.016947,-0.039671,-0.006636,-0.005018,-0.01154,0.323868,-0.042629,-0.058599,-0.006116,-0.010104,0.625818,1.576165,-0.025814,-0.001373,-0.030485,1.166667,0.0,4.375,0.058961,0.332303,0.309426
1517,65.440598,369.970001,0.318592,0.292243,2.291667,0.083333,0.055445,55277.0,0.063607,0.1172,0.058836,0.115709,-0.017414,0.24998,9.041461,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.187957,-0.060204,-0.007036,-0.019351,-0.041892,-0.006967,-0.005278,-0.01186,0.324952,-0.048866,-0.066335,-0.006767,-0.010743,0.625564,1.562402,-0.026846,-0.00078,-0.021719,1.083333,0.0,3.208333,0.064448,0.36485,0.309056
1518,74.183174,410.459991,0.336688,0.318985,2.458333,0.0,0.055809,54680.0,0.069178,0.120226,0.056907,0.114293,-0.017726,0.252015,8.87247,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.197066,-0.064283,-0.005266,-0.021862,-0.045017,-0.00727,-0.005582,-0.012719,0.341944,-0.057826,-0.071127,-0.006952,-0.0121,0.645269,1.644919,-0.027339,-0.001456,-0.032757,1.25,0.0,2.791667,0.070895,0.394678,0.333011
1519,74.740578,412.76001,0.330007,0.307769,3.041667,0.125,0.056146,55123.0,0.063045,0.119405,0.053701,0.108514,-0.016917,0.239935,9.484163,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.194203,-0.061618,-0.007296,-0.021313,-0.042047,-0.007137,-0.005358,-0.011958,0.333158,-0.051189,-0.0628,-0.006985,-0.010965,0.652535,1.622809,-0.026506,-0.001565,-0.02484,1.708333,0.0,3.916667,0.072809,0.408718,0.314274
