iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-0.895349,15.82,0.008654,0.008085,1.25,36.791668,0.976579,41892.0,0.00709,0.020039,0.000633,0.005011,-0.001835,0.002414,7.045352,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005881,-5.8e-05,-4.6e-05,-0.014476,-0.003944,-0.040153,-0.002591,-0.000384,0.008912,-0.005036,-0.001385,-0.003283,-0.001693,0.00753,0.003347,-0.014027,-2e-05,-9.2e-05,36.416668,3.458333,0.052174,0.134083,0.299958
1,-2.195967,40.970001,0.022529,0.020063,11.25,0.041667,0.948449,64944.0,0.018828,0.061124,0.004045,0.015438,-0.00476,0.009304,6.618713,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016771,-0.000169,-0.000217,-0.028306,-0.009241,-0.11708,-0.007383,-0.000913,0.023825,-0.013899,-0.003583,-0.007488,-0.004061,0.020916,0.008309,-0.039826,-0.000125,-0.000687,0.041667,4.625,0.034172,0.117978,0.608048
2,-2.796668,57.720001,0.032603,0.030608,9.875,0.0,0.919816,65351.0,0.028356,0.092874,0.005538,0.02226,-0.006857,0.01136,6.612571,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.025255,-0.000253,-0.000439,-0.029968,-0.013497,-0.170825,-0.010892,-0.001419,0.035358,-0.018931,-0.005273,-0.01153,-0.005954,0.028962,0.013003,-0.057658,-0.000446,-0.00179,0.0,3.25,0.034434,0.13955,0.660564
3,-3.121286,79.32,0.047763,0.04872,8.583334,0.0,0.893806,64710.0,0.039021,0.135674,0.007482,0.030865,-0.009072,0.016591,6.590229,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.037092,-0.000368,-0.000567,-0.027173,-0.019151,-0.24051,-0.01563,-0.002195,0.050641,-0.026488,-0.007583,-0.01665,-0.008323,0.046306,0.019783,-0.081352,-0.000778,-0.003361,0.0,3.958333,0.032126,0.130956,0.59071
4,-3.280601,99.699997,0.059152,0.061266,7.916667,0.0,0.865785,64112.0,0.047439,0.158835,0.009317,0.040363,-0.01122,0.023408,6.559425,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.045234,-0.000445,-0.000813,-0.027151,-0.024136,-0.282617,-0.018721,-0.002657,0.063745,-0.031068,-0.0092,-0.020354,-0.010659,0.056853,0.024548,-0.095763,-0.001498,-0.005909,0.0,3.875,0.031536,0.125889,0.572772
5,-3.234668,107.150002,0.066846,0.071123,7.791667,0.0,0.837882,64084.0,0.05579,0.190607,0.010831,0.04494,-0.012775,0.026902,6.530403,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.053175,-0.000519,-0.000786,-0.029209,-0.027476,-0.318912,-0.021289,-0.003062,0.074875,-0.036177,-0.01052,-0.022519,-0.012202,0.069682,0.030501,-0.108366,-0.001655,-0.005703,0.0,3.041667,0.032483,0.142882,0.611489
6,-3.609954,134.630005,0.082131,0.088844,6.708333,0.0,0.816401,60172.0,0.066741,0.228508,0.011652,0.053641,-0.014593,0.030069,6.525416,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064472,-0.000628,-0.001034,-0.026005,-0.033348,-0.371544,-0.025736,-0.003823,0.088881,-0.042192,-0.012667,-0.028141,-0.014942,0.082612,0.037387,-0.126494,-0.002615,-0.010478,0.0,3.416667,0.031901,0.143331,0.565808
7,-3.275727,154.770004,0.09452,0.101372,5.166667,0.041667,0.791743,64298.0,0.076111,0.261657,0.014104,0.063318,-0.017867,0.036709,6.494038,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.07273,-0.000695,-0.001215,-0.024575,-0.039478,-0.402862,-0.02867,-0.004328,0.107222,-0.048083,-0.014599,-0.032056,-0.017506,0.090392,0.042013,-0.137505,-0.003433,-0.016002,0.0,3.416667,0.031692,0.141359,0.539091
8,-3.070883,182.229996,0.109853,0.118559,5.125,0.0,0.769265,58313.0,0.08912,0.299641,0.017186,0.070893,-0.019538,0.036546,6.485315,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.083964,-0.000803,-0.001304,-0.02461,-0.044325,-0.446723,-0.032163,-0.004927,0.120387,-0.053356,-0.016199,-0.035441,-0.019685,0.103539,0.049031,-0.152903,-0.004019,-0.016323,0.0,3.291667,0.030177,0.139826,0.550503
9,-3.157434,194.309998,0.116187,0.129189,4.708333,0.0,0.748851,50356.0,0.097339,0.32925,0.017911,0.075046,-0.021312,0.039747,6.467222,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.09223,-0.000875,-0.001575,-0.024051,-0.049628,-0.471272,-0.034421,-0.005373,0.135859,-0.056812,-0.017745,-0.038539,-0.022348,0.112732,0.053902,-0.161803,-0.004556,-0.015783,0.0,3.291667,0.031001,0.142861,0.53496
