iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7009,48.661777,278.609985,0.21024,0.239119,0.0,0.0,0.100304,78210.0,0.0464,0.098675,0.051237,0.089906,-0.016154,0.168882,8.049399,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.13825,-0.044599,-0.003047,0.0,-0.027561,-0.015033,-0.004656,-0.009146,0.216482,-0.027554,-0.048648,-0.00364,-0.009339,0.510175,1.051085,-0.038311,-0.000291,-0.011935,0.0,4.541667,0.023311,0.076181,0.112708
7010,52.429432,301.059998,0.221942,0.25481,0.0,0.0,0.099436,77284.0,0.047673,0.104479,0.05162,0.092194,-0.015982,0.180337,8.05148,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.15025,-0.047404,-0.002066,0.0,-0.028089,-0.015886,-0.004389,-0.009333,0.243751,-0.028766,-0.052619,-0.003816,-0.009857,0.560304,1.155651,-0.038887,-0.000236,-0.016099,0.0,4.625,0.024462,0.088319,0.126554
7011,57.304291,326.73999,0.252209,0.278154,0.0,0.0,0.098914,79857.0,0.054908,0.11341,0.063637,0.113361,-0.020103,0.202717,8.014347,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.16225,-0.052087,-0.003972,0.0,-0.031161,-0.017779,-0.005654,-0.010674,0.252877,-0.03262,-0.055924,-0.004061,-0.009497,0.59322,1.23561,-0.04632,-0.000178,-0.019022,0.0,4.75,0.021376,0.078057,0.125944
7012,59.761036,350.410004,0.221155,0.286426,0.0,0.0,0.098063,80581.0,0.066226,0.122145,0.072745,0.140421,-0.025402,0.239523,7.998631,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.174456,-0.055892,-0.005444,0.0,-0.041036,-0.019421,-0.00704,-0.013823,0.266699,-0.036619,-0.066166,-0.005093,-0.012762,0.621706,1.316173,-0.054621,-0.000274,-0.029509,0.0,4.565217,0.030031,0.107039,0.132484
7013,65.335335,373.079987,0.2897,0.313033,0.0,0.0,0.097191,81800.0,0.060506,0.129681,0.068535,0.116401,-0.02132,0.211715,8.004681,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.186391,-0.060007,-0.004427,0.0,-0.033346,-0.019649,-0.006039,-0.012183,0.289336,-0.036059,-0.064216,-0.004334,-0.01073,0.687214,1.431589,-0.05058,-0.000219,-0.018128,0.0,4.434783,0.022046,0.08203,0.123341
7014,69.125801,395.809998,0.290704,0.340473,0.0,0.0,0.096424,79859.0,0.067276,0.138121,0.071885,0.135206,-0.022902,0.245818,7.992319,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.19825,-0.062399,-0.004063,0.0,-0.039085,-0.021075,-0.006854,-0.013833,0.307323,-0.039558,-0.072915,-0.004807,-0.0126,0.729238,1.512233,-0.054973,-0.000274,-0.029429,0.0,4.041667,0.026462,0.082422,0.111216
7015,72.918915,420.980011,0.296776,0.357887,0.0,0.0,0.095726,82722.0,0.070735,0.14516,0.082184,0.14041,-0.025411,0.257014,7.91915,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.209886,-0.06461,-0.004528,0.0,-0.041189,-0.021911,-0.007007,-0.014443,0.328842,-0.03977,-0.071081,-0.004865,-0.013248,0.768757,1.61684,-0.057774,-0.000346,-0.034344,0.0,5.090909,0.028404,0.078583,0.130385
7016,77.920135,444.309998,0.349508,0.383796,0.043478,0.0,0.095005,82179.0,0.074189,0.153342,0.090731,0.1657,-0.030831,0.297613,7.946428,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.222102,-0.071427,-0.007164,-0.00058,-0.048074,-0.024036,-0.008894,-0.016608,0.33884,-0.044507,-0.077679,-0.005386,-0.014302,0.816323,1.700494,-0.067152,-0.000396,-0.042941,0.043478,4.26087,0.02338,0.087384,0.130256
7017,82.141548,466.98999,0.355423,0.389999,0.0,0.0,0.094518,85631.0,0.083188,0.159026,0.086662,0.159903,-0.027977,0.296396,7.908168,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.234239,-0.078044,-0.005151,0.0,-0.044891,-0.023549,-0.007652,-0.015467,0.362147,-0.043394,-0.076531,-0.005719,-0.014142,0.852093,1.817438,-0.063726,-0.00035,-0.038285,0.0,4.190476,0.027493,0.079167,0.140587
7018,85.977234,491.359985,0.370998,0.410349,0.0,0.0,0.094027,80814.0,0.079679,0.168506,0.087772,0.171656,-0.031902,0.31692,7.919855,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.246251,-0.085514,-0.006846,0.0,-0.050768,-0.025384,-0.008815,-0.017737,0.382831,-0.04471,-0.078505,-0.005739,-0.016179,0.898635,1.912723,-0.070716,-0.000294,-0.053694,0.0,3.708333,0.025297,0.099567,0.126672
