iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
77,44.2925,500.0,1.979299,-0.004474,0.0,0.0,0.401906,104265.0
78,44.451664,500.0,1.979799,-0.004234,0.0,0.0,0.39437,103581.0
79,44.607838,500.0,1.980326,-0.004157,0.0,0.0,0.386833,103701.0
80,44.724712,500.0,1.98123,-0.003879,0.0,0.0,0.380073,106543.0
81,44.843666,500.0,1.982143,-0.003838,0.0,0.0,0.372803,104484.0
82,44.998966,500.0,1.982776,-0.003605,0.0,0.0,0.366981,107903.0
83,45.123867,500.0,1.983138,-0.003557,0.0,0.0,0.360587,106389.0
84,45.274414,500.0,1.983495,-0.003422,0.0,0.0,0.353624,103460.0
85,45.430115,500.0,1.984206,-0.003265,0.0,0.0,0.345717,71034.0
86,45.548584,500.0,1.984619,-0.003111,0.0,0.0,0.339641,113381.0
87,45.659286,500.0,1.985086,-0.00303,0.0,0.0,0.333609,67773.0
88,45.761246,500.0,1.985655,-0.002919,0.0,0.0,0.328122,65207.0
89,45.912724,500.0,1.986223,-0.002796,0.0,0.0,0.322972,66502.0
90,45.975945,500.0,1.98639,-0.002663,0.0,0.0,0.316945,68004.0
91,46.096745,500.0,1.987084,-0.002574,0.0,0.0,0.31141,65638.0
92,46.206894,500.0,1.987699,-0.002449,0.0,0.0,0.306259,63467.0
93,46.300312,500.0,1.98794,-0.002367,0.0,0.0,0.299687,64540.0
94,46.395657,500.0,1.988725,-0.00228,0.0,0.0,0.295547,64214.0
95,46.470783,500.0,1.988907,-0.002189,0.0,0.0,0.291009,121984.0
96,46.557358,500.0,1.98952,-0.002086,0.0,0.0,0.287086,109979.0
97,46.659245,500.0,1.98993,-0.002022,0.0,0.0,0.282514,115955.0
98,46.747169,500.0,1.990027,-0.001976,0.0,0.0,0.278836,114682.0
99,46.864487,500.0,1.990586,-0.00182,0.0,0.0,0.2747,124028.0
100,46.942932,500.0,1.991086,-0.001792,0.0,0.0,0.271738,108674.0
101,47.007511,500.0,1.991106,-0.001733,0.0,0.0,0.268214,104006.0
102,47.062252,500.0,1.991337,-0.00172,0.0,0.0,0.264086,105409.0
103,47.175522,500.0,1.991744,-0.00163,0.0,0.0,0.260239,105660.0
104,47.247738,500.0,1.991956,-0.001552,0.0,0.0,0.256691,102382.0
105,47.321541,500.0,1.992211,-0.001496,0.0,0.0,0.25153,103110.0
106,47.391216,500.0,1.992442,-0.001475,0.0,0.0,0.24792,104507.0
107,47.455547,500.0,1.992618,-0.001425,0.0,0.0,0.244043,106021.0
108,47.53294,500.0,1.992879,-0.001362,0.0,0.0,0.239154,106856.0
109,47.570129,500.0,1.993116,-0.001332,0.0,0.0,0.234207,103688.0
110,47.661167,500.0,1.993304,-0.001287,0.0,0.0,0.231582,81437.0
111,47.729725,500.0,1.993519,-0.001224,0.0,0.0,0.228322,118652.0
112,47.758526,500.0,1.993678,-0.001201,0.0,0.0,0.225552,111976.0
