iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1499,1.938362,20.23,0.009114,0.009887,0.083333,40.208336,0.047689,32571.0,0.00489,0.005298,0.000247,0.003458,-0.000925,0.003118,16.78961,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.005785,-0.003862,-8.1e-05,-0.0162,-0.009416,-0.000398,-0.001364,-0.000582,0.009114,-0.009849,-0.003544,-0.003314,-0.001233,0.012404,0.043298,-0.001229,-7e-06,-5e-06,36.791668,0.0,3.958333,0.089701,0.09785,0.15048
1500,3.032302,41.16,0.024343,0.027389,0.833333,3.916667,0.047895,15946.0,0.018137,0.020343,0.002109,0.015081,-0.002109,0.012756,15.34462,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.016706,-0.010471,-0.000581,-0.023436,-0.014465,-0.001255,-0.001226,-0.001684,0.023995,-0.028368,-0.014302,-0.002509,-0.002682,0.024128,0.108656,-0.004771,-0.00019,-0.000144,3.25,0.0,5.166667,0.049704,0.185285,0.232708
1501,5.299652,59.130001,0.040834,0.042818,0.916667,2.041667,0.048144,16194.0,0.032863,0.033957,0.004443,0.024862,-0.003993,0.022651,14.554148,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.027024,-0.016113,-0.00084,-0.026254,-0.021247,-0.002033,-0.002056,-0.002886,0.037968,-0.039129,-0.022878,-0.004478,-0.004524,0.03542,0.162871,-0.008121,-0.000288,-0.000388,6.041667,0.0,4.416667,0.044274,0.290021,0.2676
1502,9.503615,81.360001,0.05425,0.057574,0.541667,1.458333,0.048527,16313.0,0.036401,0.038022,0.005816,0.030851,-0.00483,0.031688,14.054214,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.037087,-0.021247,-0.001553,-0.020492,-0.024964,-0.002297,-0.002394,-0.00388,0.053073,-0.031545,-0.023647,-0.004674,-0.005125,0.063821,0.255835,-0.009736,-0.000515,-0.000445,2.5,0.0,4.0,0.042489,0.223214,0.241035
1503,12.570702,102.489998,0.069738,0.074172,0.708333,1.0,0.048835,16713.0,0.041642,0.04683,0.00872,0.037222,-0.006119,0.042517,13.765292,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.047636,-0.025264,-0.001919,-0.018162,-0.026848,-0.002899,-0.003047,-0.004986,0.06927,-0.038361,-0.030281,-0.005195,-0.005782,0.092536,0.332492,-0.012598,-0.000484,-0.000849,2.041667,0.0,4.291667,0.040228,0.211933,0.260577
