iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,0.018911,9.846154,-0.000579,0.1,0.0,0.9978,3453.0
1,-0.127798,24.966667,-0.005007,0.642857,0.0,0.994844,5211.0
2,-0.196687,42.016666,-0.010937,1.588235,0.0,0.990711,5881.0
