iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
12,12.89947,288.100006,0.191243,0.208734,0.826087,0.0,0.887975,42303.0,0.158204,0.559167,0.021069,0.132458,-0.020804,0.065244,6.838765,-0.1,-0.001,-0.01,-0.02,-0.2,0.1442,-0.001408,-0.002812,-0.0069,-0.000165,-0.178713,-0.059042,-0.009195,0.200451,-0.033296,-0.013543,-0.067613,-0.033723,0.160301,0.014365,-0.060418,-0.007624,-0.0057,3.73913,0.031252,0.144769,0.234505
13,13.797438,323.149994,0.190319,0.222625,0.625,0.0,0.88149,60361.0,0.169868,0.596967,0.023602,0.145786,-0.02272,0.075119,6.843292,-0.1,-0.001,-0.01,-0.02,-0.2,0.159562,-0.001572,-0.003603,-0.00465,-0.00018,-0.19597,-0.066756,-0.01031,0.220124,-0.037321,-0.01476,-0.075526,-0.037141,0.186841,0.016148,-0.066411,-0.013102,-0.009044,4.458333,0.032993,0.185171,0.226098
14,14.935139,336.429993,0.208571,0.238962,0.541667,0.0,0.873852,60790.0,0.180923,0.629343,0.023886,0.166871,-0.024509,0.08405,6.83277,-0.1,-0.001,-0.01,-0.02,-0.2,0.169724,-0.001689,-0.003745,-0.005933,-0.000209,-0.205974,-0.068845,-0.010825,0.239896,-0.039292,-0.015182,-0.078028,-0.04294,0.19799,0.017837,-0.069746,-0.018108,-0.012355,2.666667,0.034744,0.157618,0.205783
15,15.990689,363.220001,0.230925,0.264721,0.434783,0.0,0.865688,61490.0,0.206367,0.707818,0.027914,0.180716,-0.027611,0.082661,6.851723,-0.1,-0.001,-0.01,-0.02,-0.2,0.182188,-0.001788,-0.003843,-0.002975,-0.000219,-0.218198,-0.07458,-0.01172,0.261749,-0.042254,-0.016804,-0.087251,-0.045282,0.172368,0.018283,-0.073988,-0.016194,-0.012817,4.347826,0.032411,0.157074,0.180593
16,17.207846,391.26001,0.245774,0.284842,0.478261,0.0,0.858432,61632.0,0.222441,0.736812,0.029451,0.193218,-0.029759,0.087942,6.853568,-0.1,-0.001,-0.01,-0.02,-0.2,0.195981,-0.001907,-0.004427,-0.004335,-0.000237,-0.233526,-0.078998,-0.012401,0.285721,-0.04416,-0.017905,-0.093988,-0.048836,0.183202,0.020275,-0.079179,-0.014595,-0.011486,3.913043,0.03002,0.167514,0.213804
17,18.213354,418.350006,0.257984,0.296755,0.541667,0.0,0.850749,62557.0,0.219243,0.785844,0.026889,0.169044,-0.026563,0.090826,6.879766,-0.1,-0.001,-0.01,-0.02,-0.2,0.207624,-0.002009,-0.004377,-0.005976,-0.00021,-0.244055,-0.08415,-0.013049,0.267596,-0.047995,-0.019217,-0.097756,-0.043394,0.251901,0.020953,-0.082895,-0.013768,-0.013064,4.125,0.027904,0.158744,0.198507
18,19.398279,436.540009,0.285858,0.3174,0.416667,0.0,0.844685,66619.0,0.231506,0.841845,0.035211,0.203404,-0.031756,0.107944,6.887508,-0.1,-0.001,-0.01,-0.02,-0.2,0.218498,-0.002091,-0.004685,-0.003877,-0.000242,-0.254414,-0.087166,-0.013564,0.306292,-0.04938,-0.020432,-0.102535,-0.050269,0.237159,0.021484,-0.08634,-0.016073,-0.014009,3.791667,0.02564,0.162506,0.194123
19,21.142687,460.23999,0.284537,0.324269,0.304348,0.0,0.840033,66744.0,0.240264,0.877008,0.035898,0.220844,-0.034928,0.121325,6.895383,-0.1,-0.001,-0.01,-0.02,-0.2,0.229294,-0.002203,-0.004537,-0.003478,-0.000275,-0.2647,-0.090765,-0.014426,0.333745,-0.051425,-0.021094,-0.108382,-0.056681,0.269254,0.023389,-0.089861,-0.020381,-0.018063,3.434783,0.026838,0.155634,0.16169
20,22.427244,483.799988,0.318392,0.338351,0.291667,0.0,0.83551,63365.0,0.256124,0.904368,0.036209,0.221681,-0.035558,0.12137,6.930637,-0.1,-0.001,-0.01,-0.02,-0.2,0.241684,-0.00235,-0.005444,-0.003009,-0.000276,-0.274961,-0.096217,-0.015,0.3403,-0.054585,-0.021772,-0.112681,-0.057609,0.295603,0.024779,-0.09366,-0.018086,-0.019703,3.666667,0.031756,0.147644,0.189829
21,23.681837,502.269989,0.327557,0.362142,0.5,0.0,0.831055,63580.0,0.257066,0.93663,0.036507,0.224415,-0.035155,0.13625,6.929176,-0.1,-0.001,-0.01,-0.02,-0.2,0.251892,-0.002446,-0.005643,-0.005865,-0.000282,-0.284732,-0.100308,-0.015666,0.346458,-0.055638,-0.023055,-0.118179,-0.058142,0.322108,0.026925,-0.096998,-0.031121,-0.025085,3.541667,0.03291,0.14185,0.225606
