iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
0,0.866947,20.219999,0.02267,-0.001226,1.458333,0.0,0.993489,51263.0
1,1.892466,46.799999,0.062743,-0.007542,16.5,0.0,0.988912,97070.0
2,2.975954,67.989998,0.102227,-0.01088,19.125,0.0,0.984707,95701.0
3,4.362367,89.339996,0.140278,-0.012344,17.875,0.0,0.977609,97345.0
4,5.566583,109.32,0.175669,-0.013091,17.0,0.0,0.974326,95366.0
5,6.567098,124.239998,0.204,-0.014313,18.416668,0.0,0.968203,99271.0
6,7.092413,134.75,0.239126,-0.015371,17.416668,0.0,0.962004,97318.0
7,8.092722,155.149994,0.261552,-0.017994,15.25,0.0,0.954202,100373.0
8,10.233961,181.149994,0.300371,-0.017569,9.833334,0.0,0.946845,101478.0
9,11.611915,204.350006,0.345102,-0.018031,7.25,0.0,0.938268,100291.0
10,13.32741,231.070007,0.370142,-0.017655,4.75,0.0,0.93295,99812.0
11,14.156543,239.309998,0.417854,-0.018092,4.833333,0.0,0.926919,98223.0
12,15.381494,263.480011,0.464866,-0.019436,3.625,0.0,0.921295,97795.0
13,16.058481,270.23999,0.478514,-0.0198,4.375,0.0,0.9138,100748.0
14,18.852573,310.959991,0.544748,-0.018316,3.125,0.0,0.906471,101948.0
15,20.182486,331.839996,0.579314,-0.021051,1.916667,0.0,0.897958,101174.0
16,22.684093,368.5,0.66524,-0.022722,1.583333,0.0,0.891543,100351.0
17,23.846136,385.160004,0.718197,-0.019646,1.217391,0.0,0.885108,106500.0
18,26.042246,417.230011,0.749907,-0.021108,1.25,0.0,0.879766,103019.0
19,27.317764,432.269989,0.770315,-0.017488,1.333333,0.0,0.875285,97697.0
20,28.143555,448.649994,0.811886,-0.022995,1.541667,0.0,0.869186,103879.0
21,29.639275,472.700012,0.851561,-0.025215,1.26087,0.0,0.863521,106367.0
22,32.258698,509.929993,0.927487,-0.025958,1.217391,0.0,0.857442,106970.0
23,33.861855,531.159973,0.969526,-0.028101,0.826087,0.0,0.850771,106902.0
24,35.730396,554.440002,1.020916,-0.020745,0.791667,0.0,0.844821,96814.0
25,37.784477,583.710022,1.098506,-0.02168,0.652174,0.0,0.839183,94366.0
26,38.516647,588.549988,1.100584,-0.019883,0.565217,0.0,0.834618,101675.0
27,39.182629,600.340027,1.151331,-0.022334,0.652174,0.0,0.828698,102483.0
28,43.134567,652.219971,1.222145,-0.023597,0.434783,0.0,0.821847,103589.0
29,45.27618,686.169983,1.282135,-0.019638,0.416667,0.0,0.815242,87057.0
30,46.788639,710.869995,1.315447,-0.030151,0.521739,0.0,0.807063,100073.0
31,48.351032,735.789978,1.371457,-0.021175,0.5,0.0,0.801605,106142.0
32,50.81443,764.130005,1.433479,-0.021534,0.291667,0.0,0.795266,97530.0
33,52.599876,789.219971,1.475405,-0.020864,0.416667,0.0,0.7873,101443.0
34,52.370388,781.390015,1.44651,-0.024708,0.428571,0.0,0.778975,103378.0
35,55.4958,826.119995,1.581514,-0.022452,0.181818,0.0,0.768604,101746.0
36,57.591148,857.840027,1.604053,-0.025802,0.166667,0.0,0.760541,88281.0
37,59.082088,878.140015,1.623927,-0.031387,0.166667,0.0,0.75266,102006.0
38,60.371716,895.039978,1.686626,-0.027002,0.347826,0.0,0.743584,100760.0
39,62.776627,923.280029,1.743513,-0.022628,0.208333,0.0,0.732387,99226.0
40,64.505432,947.919983,1.786441,-0.025297,0.090909,0.0,0.724894,94414.0
41,67.623222,992.219971,1.864577,-0.025178,0.043478,0.0,0.714613,93968.0
42,68.700577,998.400024,1.872216,-0.023802,0.166667,0.0,0.704765,100575.0
43,68.53038,993.27002,1.872291,-0.025509,0.291667,0.0,0.693801,104652.0
44,69.718285,998.960022,1.889709,-0.021594,0.041667,0.0,0.682413,103203.0
45,70.282463,1000.0,1.886846,-0.022447,0.041667,0.0,0.672462,104412.0
46,70.824059,1000.0,1.88801,-0.022551,0.083333,0.0,0.664501,102970.0
47,70.809082,1000.0,1.885701,-0.021613,0.125,0.0,0.654034,103343.0
48,71.374176,1000.0,1.897159,-0.019513,0.083333,0.0,0.646189,101972.0
49,71.60984,999.849976,1.900635,-0.01823,0.208333,0.0,0.63649,104629.0
50,71.928642,998.26001,1.903299,-0.018923,0.083333,0.0,0.628565,103659.0
51,72.011749,992.159973,1.904268,-0.016825,0.041667,0.0,0.619428,99839.0
52,72.042824,991.830017,1.895558,-0.019054,0.125,0.0,0.613103,103534.0
53,72.562248,991.47998,1.908991,-0.01591,0.125,0.0,0.603111,102923.0
54,73.2537,991.940002,1.912258,-0.013613,0.041667,0.0,0.595063,103630.0
55,73.542885,991.97998,1.915264,-0.013562,0.041667,0.0,0.588833,102103.0
56,73.36882,988.349976,1.910149,-0.015075,0.083333,0.0,0.57946,100981.0
