iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7497,1.427949,10.22,0.009653,0.009661,0.0,38.347828,0.061339,48152.0,0.005035,0.003414,0.000924,0.002512,-0.00057,0.004205,6.390388,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.006005,-0.001989,-7.3e-05,0.0,-0.006245,-0.002008,-0.001425,-0.000263,-0.000162,-0.000295,0.011113,-0.001248,-0.001695,-0.00037,-0.001106,0.015487,0.050596,-0.000769,-3e-06,0.0,37.913044,3.608696,0.044889,0.109778,0.158109
7498,6.706,38.25,0.029911,0.031192,0.0,0.0,0.061542,84721.0,0.010251,0.010504,0.005403,0.012079,-0.002119,0.020623,6.991817,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.018348,-0.005353,-0.000336,0.0,0.0,-0.004176,-0.015548,-0.000787,-0.000551,-0.001047,0.031905,-0.00188,-0.004979,-0.000506,-0.001979,0.053415,0.155871,-0.003055,-2e-05,-2e-06,0.0,4.869565,0.021043,0.082159,0.118528
7499,10.476465,59.209999,0.050262,0.048447,0.0,0.0,0.061621,81746.0,0.015031,0.015669,0.00909,0.021953,-0.003757,0.038383,7.045341,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.03025,-0.009707,-0.000986,0.0,0.0,-0.006346,-0.032875,-0.001305,-0.001026,-0.001957,0.050699,-0.002822,-0.008082,-0.000676,-0.002724,0.095049,0.261922,-0.005501,-3.9e-05,-1.3e-05,0.0,3.666667,0.01917,0.090514,0.154728
7500,15.326992,85.040001,0.066462,0.071421,0.0,0.0,0.061779,83652.0,0.015075,0.021006,0.012524,0.027372,-0.00462,0.048765,7.120998,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.04225,-0.012524,-0.001207,0.0,0.0,-0.007503,-0.040713,-0.001728,-0.001281,-0.002617,0.070326,-0.003663,-0.00978,-0.000748,-0.003035,0.145652,0.369214,-0.007142,-6.1e-05,-3.7e-05,0.0,4.208333,0.02218,0.081099,0.12638
7501,19.89287,108.82,0.087929,0.091142,0.0,0.0,0.061841,80481.0,0.019422,0.028397,0.019922,0.038821,-0.006017,0.077672,7.088935,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.05425,-0.015155,-0.001214,0.0,0.0,-0.00956,-0.046382,-0.002157,-0.001546,-0.002957,0.091285,-0.005158,-0.01319,-0.000954,-0.003813,0.191434,0.469801,-0.008881,-0.000113,-0.000395,0.0,4.416667,0.020715,0.087649,0.129608
7502,23.463255,130.800003,0.107182,0.111423,0.0,0.0,0.061856,82222.0,0.027999,0.034516,0.020911,0.044947,-0.007928,0.075213,7.12022,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.066261,-0.01898,-0.001959,0.0,0.0,-0.012562,-0.054223,-0.002838,-0.002266,-0.004055,0.109399,-0.006103,-0.017097,-0.001217,-0.004972,0.224681,0.575712,-0.012494,-9.6e-05,-0.000657,0.0,4.0,0.020451,0.082816,0.125311
7503,28.838398,157.330002,0.126194,0.127862,0.0,0.0,0.061849,83476.0,0.025455,0.039248,0.022779,0.048416,-0.008172,0.090719,7.143279,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.07825,-0.024668,-0.001866,0.0,0.0,-0.012653,-0.067832,-0.003176,-0.002396,-0.004508,0.131406,-0.006498,-0.016082,-0.001179,-0.004746,0.28128,0.68823,-0.013457,-0.000168,-0.000868,0.0,4.25,0.021063,0.084786,0.149035
7504,32.541149,178.740005,0.139667,0.15179,0.0,0.0,0.061768,84615.0,0.030901,0.048236,0.032124,0.06173,-0.010537,0.115698,7.15441,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.090174,-0.02746,-0.002242,0.0,0.0,-0.016052,-0.102889,-0.00377,-0.002947,-0.005555,0.151701,-0.008294,-0.02106,-0.001653,-0.005781,0.323748,0.782722,-0.016327,-0.000199,-0.003883,0.0,4.217391,0.022566,0.086539,0.126086
7505,36.959255,205.110001,0.164342,0.170588,0.0,0.0,0.061627,81455.0,0.032027,0.050757,0.035391,0.064489,-0.010887,0.125023,7.110477,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.10225,-0.029829,-0.001808,0.0,0.0,-0.016261,-0.114066,-0.003982,-0.002927,-0.0055,0.172639,-0.008667,-0.022511,-0.001534,-0.005742,0.373624,0.898436,-0.016195,-0.000206,-0.004412,0.0,4.416667,0.021307,0.078443,0.131269
7506,41.413029,229.419998,0.181177,0.194716,0.0,0.0,0.061451,84994.0,0.040507,0.058612,0.041619,0.076712,-0.013643,0.143063,7.121239,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.114369,-0.034308,-0.002723,0.0,0.0,-0.0199,-0.131831,-0.004824,-0.003767,-0.006821,0.190113,-0.010463,-0.027297,-0.002085,-0.006594,0.408321,0.994918,-0.021166,-0.000239,-0.005511,0.0,4.608696,0.022016,0.072146,0.120577
