iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7508,50.401405,274.529999,0.220054,0.230116,0.375,0.041667,0.064097,50114.0,0.050291,0.077497,0.043658,0.098486,-0.016789,0.173645,10.3256,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.136867,-0.043988,-0.004224,0.0,-0.004756,-0.036314,-0.006188,-0.005415,-0.00931,0.218163,-0.034623,-0.046371,-0.004404,-0.008156,0.487661,1.154031,-0.027012,-0.000275,-0.011815,0.333333,0.0,4.625,0.04765,0.147859,0.182912
7509,53.891239,294.790009,0.235779,0.243635,0.304348,0.0,0.064266,49777.0,0.051518,0.087239,0.050588,0.099104,-0.018186,0.188688,10.362868,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.148719,-0.046831,-0.004944,0.0,-0.003438,-0.040118,-0.006859,-0.005361,-0.009857,0.23928,-0.033127,-0.054727,-0.004534,-0.008605,0.540264,1.250304,-0.02852,-0.000311,-0.021096,0.086957,0.0,4.347826,0.054805,0.11488,0.181057
7510,58.356323,319.380005,0.264753,0.259824,0.375,0.041667,0.064507,50766.0,0.0586,0.09107,0.049996,0.096861,-0.0175,0.187052,10.322676,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.157661,-0.04637,-0.00393,0.0,-0.004239,-0.0481,-0.006897,-0.005438,-0.010236,0.259534,-0.037602,-0.046478,-0.004582,-0.012937,0.564368,1.331826,-0.026781,-0.000854,-0.021726,0.0,0.0,4.458333,0.053311,0.1125,0.178039
7511,61.025204,336.839996,0.274013,0.287396,0.166667,0.041667,0.064662,52061.0,0.0662,0.101917,0.055303,0.117659,-0.019923,0.224018,10.320374,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.169685,-0.052589,-0.00535,0.0,-0.002764,-0.049128,-0.007863,-0.006444,-0.012106,0.279512,-0.035581,-0.063765,-0.005514,-0.01202,0.597097,1.415187,-0.032384,-0.001128,-0.027478,0.25,0.0,4.458333,0.060121,0.124397,0.123639
7512,64.332985,361.26001,0.284357,0.292719,0.541667,0.0,0.064692,51484.0,0.087737,0.115516,0.060145,0.131451,-0.023279,0.229955,10.172768,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.180727,-0.057569,-0.008969,0.0,-0.005548,-0.052571,-0.008809,-0.006971,-0.012821,0.286191,-0.043915,-0.068108,-0.006012,-0.01161,0.610704,1.490127,-0.037484,-0.000778,-0.029235,0.416667,0.0,3.875,0.066852,0.163965,0.204959
7513,69.04425,373.910004,0.305417,0.298723,0.333333,0.0,0.064829,49185.0,0.061593,0.103966,0.063789,0.107531,-0.019951,0.226137,10.238848,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.183737,-0.055383,-0.004582,0.0,-0.005071,-0.045365,-0.007634,-0.005167,-0.010518,0.306538,-0.029417,-0.045316,-0.004382,-0.011454,0.671299,1.56309,-0.029231,-0.000413,-0.031469,0.125,0.0,3.625,0.073045,0.144697,0.204341
7514,76.346458,422.339996,0.342579,0.345396,0.208333,0.0,0.065076,49345.0,0.075235,0.121985,0.06757,0.13615,-0.024948,0.248172,10.129962,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.210021,-0.0653,-0.006972,0.0,-0.002514,-0.050976,-0.009553,-0.007151,-0.01334,0.343238,-0.045382,-0.076391,-0.005421,-0.010773,0.753707,1.764809,-0.039475,-0.000649,-0.034377,0.083333,0.0,4.458333,0.073263,0.117015,0.169356
7515,79.708557,432.600006,0.341778,0.353306,0.416667,0.0,0.065412,51050.0,0.074962,0.123493,0.074612,0.151329,-0.025937,0.282561,10.221294,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.214467,-0.062005,-0.007771,0.0,-0.004671,-0.050535,-0.00951,-0.00716,-0.013543,0.343226,-0.046463,-0.065267,-0.005504,-0.011158,0.777199,1.808517,-0.039707,-0.001335,-0.031332,0.208333,0.0,4.25,0.052965,0.112103,0.20301
7516,82.876099,454.350006,0.355092,0.36067,0.125,0.083333,0.065652,50434.0,0.081169,0.128894,0.075132,0.156026,-0.02757,0.284108,10.061872,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.222015,-0.065367,-0.008231,0.0,-0.002655,-0.061646,-0.010239,-0.008046,-0.015327,0.357674,-0.04027,-0.074014,-0.006087,-0.014726,0.796945,1.852588,-0.043122,-0.001716,-0.049657,0.083333,0.0,4.125,0.093171,0.13555,0.156274
7517,86.236992,470.230011,0.384375,0.392502,0.208333,0.041667,0.065897,49681.0,0.082908,0.1327,0.069809,0.12332,-0.022588,0.252306,10.287071,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.236669,-0.06854,-0.006293,0.0,-0.002082,-0.058296,-0.009577,-0.006134,-0.013854,0.380904,-0.034593,-0.0592,-0.005392,-0.01667,0.85648,2.021313,-0.034478,-0.00041,-0.047263,0.083333,0.0,4.25,0.032996,0.106633,0.160109
7518,90.336914,495.540009,0.400009,0.422375,0.458333,0.0,0.066176,51274.0,0.092639,0.140914,0.080786,0.160432,-0.026399,0.293651,10.193983,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.251789,-0.071559,-0.009921,0.0,-0.003668,-0.05709,-0.010681,-0.007455,-0.014401,0.403784,-0.044756,-0.078476,-0.006237,-0.013612,0.899423,2.135716,-0.042143,-0.000531,-0.079189,0.083333,0.0,3.875,0.067384,0.120124,0.18911
7519,96.1147,535.349976,0.429411,0.438125,0.5,0.0,0.066348,49607.0,0.094819,0.152711,0.078219,0.16094,-0.028111,0.313919,10.04178,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.265161,-0.084843,-0.008757,0.0,-0.005045,-0.064946,-0.011822,-0.008111,-0.016278,0.432982,-0.052568,-0.079781,-0.006714,-0.013972,0.948044,2.237438,-0.045787,-0.001605,-0.071142,0.208333,0.0,4.0,0.085715,0.134942,0.17478
7520,101.996635,556.950012,0.451131,0.46702,0.25,0.041667,0.066469,49064.0,0.090973,0.156818,0.088989,0.166755,-0.029717,0.339957,10.121162,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.278817,-0.083027,-0.008541,0.0,-0.003017,-0.066183,-0.011601,-0.008017,-0.016785,0.457769,-0.043937,-0.076345,-0.006557,-0.01712,1.015885,2.383636,-0.0439,-0.000937,-0.071295,0.166667,0.0,4.5,0.044839,0.129085,0.179798
7521,103.357864,569.73999,0.447343,0.461232,0.333333,0.0,0.06668,50140.0,0.09309,0.160401,0.087155,0.171838,-0.03018,0.336941,10.213488,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.282555,-0.08539,-0.008069,0.0,-0.003565,-0.07449,-0.012144,-0.008548,-0.017577,0.458594,-0.050212,-0.08605,-0.007371,-0.020575,1.029912,2.394259,-0.046275,-0.002506,-0.078328,0.208333,0.0,4.291667,0.078508,0.124918,0.187569
7522,107.063736,585.190002,0.471941,0.49453,0.541667,0.0,0.066938,48281.0,0.100947,0.169245,0.107683,0.200867,-0.033997,0.39397,10.14246,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.295291,-0.085148,-0.008103,0.0,-0.004351,-0.074927,-0.013031,-0.009153,-0.017891,0.487509,-0.05462,-0.095995,-0.00763,-0.017964,1.076171,2.490479,-0.051057,-0.001449,-0.104041,0.208333,0.0,4.208333,0.061188,0.143632,0.177396
7523,110.668045,604.349976,0.504787,0.497002,0.333333,0.125,0.06723,49568.0,0.105636,0.171,0.09852,0.193854,-0.03514,0.372678,10.234202,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.305762,-0.092033,-0.011201,0.0,-0.00435,-0.077934,-0.013373,-0.009805,-0.019368,0.49533,-0.045385,-0.082131,-0.007085,-0.018831,1.104858,2.602892,-0.05321,-0.00072,-0.134932,0.25,0.0,3.958333,0.057147,0.113926,0.172852
