iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
40,36.227962,878.890015,0.542598,0.60961,0.0625,0.0,0.81406,58133.0,0.460307,1.45886,0.123407,0.410654,-0.114678,0.450185,8.283506
41,39.014648,926.830017,0.56552,0.641111,0.157895,0.0,0.809326,54683.0,0.484653,1.552864,0.129826,0.462669,-0.124672,0.411063,8.271029
42,41.051891,969.890015,0.567207,0.632683,0.2,0.0,0.802729,49927.0,0.484068,1.505796,0.122691,0.487818,-0.135611,0.432641,8.317566
43,44.986206,999.369995,0.553186,0.629356,0.083333,0.0,0.798632,45955.0,0.480757,1.536308,0.125336,0.462347,-0.127347,0.451122,8.314299
44,43.603519,999.719971,0.539834,0.622453,0.125,0.0,0.794654,46629.0,0.474159,1.512343,0.129171,0.479773,-0.132229,0.443444,8.338935
45,44.508305,999.419983,0.553217,0.636905,0.083333,0.0,0.790876,47670.0,0.473507,1.525738,0.128403,0.495694,-0.135264,0.44392,8.342545
46,42.293831,997.5,0.533457,0.610561,0.166667,0.0,0.786758,47764.0,0.473025,1.514801,0.129843,0.482704,-0.133843,0.455355,8.321046
47,48.160065,1000.0,0.565841,0.644185,0.083333,0.0,0.783426,46684.0,0.458176,1.519195,0.124333,0.48875,-0.133809,0.456836,8.358043
48,51.880737,1000.0,0.587683,0.659757,0.041667,0.0,0.780311,45198.0,0.458126,1.551354,0.123851,0.484045,-0.132728,0.508211,8.349237
49,48.927494,986.820007,0.617804,0.679186,0.125,0.0,0.775757,45972.0,0.446136,1.549726,0.123345,0.488667,-0.133538,0.468825,8.332731
50,52.399185,982.929993,0.619163,0.67839,0.125,0.0,0.772972,44081.0,0.442093,1.536335,0.121425,0.48105,-0.132872,0.489839,8.325048
51,53.814621,990.840027,0.644522,0.702276,0.083333,0.0,0.771085,43441.0,0.430455,1.558299,0.118569,0.492524,-0.134427,0.505995,8.349046
52,54.99744,993.190002,0.670534,0.731956,0.041667,0.0,0.7688,43386.0,0.422458,1.577825,0.118151,0.467035,-0.126813,0.541455,8.320588
53,56.796047,993.02002,0.668998,0.72074,0.125,0.0,0.767076,43815.0,0.422127,1.548091,0.119445,0.495509,-0.134787,0.532292,8.337321
54,57.885517,999.210022,0.713479,0.770116,0.043478,0.0,0.764366,42258.0,0.417975,1.592593,0.118791,0.480693,-0.128003,0.504978,8.349406
55,59.346901,986.580017,0.731162,0.775376,0.086957,0.0,0.761463,43890.0,0.407944,1.613561,0.11597,0.491161,-0.134476,0.561303,8.362833
56,59.293507,975.130005,0.740944,0.770353,0.142857,0.0,0.759358,34651.0,0.392438,1.57103,0.108574,0.469351,-0.129536,0.549228,8.384929
57,59.552151,975.130005,0.749036,0.789829,0.0,0.0,0.75788,30977.0,0.413206,1.607369,0.121754,0.50712,-0.137461,0.535368,8.371241
58,60.113605,991.700012,0.775608,0.820698,0.043478,0.0,0.755296,30549.0,0.390468,1.628766,0.109808,0.49979,-0.134111,0.590069,8.358328
59,61.032528,988.820007,0.803913,0.843741,0.0625,0.0,0.75374,39460.0,0.378405,1.620407,0.105036,0.493155,-0.132507,0.559658,8.346656
60,62.817539,978.039978,0.78692,0.829736,0.095238,0.0,0.749775,42419.0,0.380941,1.604552,0.108556,0.471567,-0.127209,0.600506,8.346085
61,66.653809,989.219971,0.829075,0.862503,0.0,0.0,0.747865,51631.0,0.376681,1.652216,0.10751,0.481706,-0.131131,0.625685,8.375564
62,67.093513,1000.0,0.801922,0.836586,0.0,0.0,0.747658,53038.0,0.380641,1.67739,0.103037,0.477546,-0.126986,0.647213,8.396828
63,65.830269,992.070007,0.790711,0.834372,0.055556,0.0,0.745684,55039.0,0.373603,1.607616,0.105078,0.487558,-0.129749,0.581629,8.372742
64,65.919998,983.159973,0.860658,0.889933,0.05,0.0,0.744495,52308.0,0.360697,1.643549,0.104922,0.507764,-0.137177,0.604731,8.352259
65,66.898582,975.799988,0.857992,0.896981,0.066667,0.0,0.743344,60643.0,0.337879,1.62168,0.085621,0.457987,-0.12149,0.695454,8.372218
