iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
40,29.354448,871.799988,0.578374,0.573288,0.611111,0.0,0.793763,59499.0,0.4597,1.439071,0.111425,0.412912,-0.123991,0.264508,7.847694
41,31.103323,889.690002,0.497028,0.504158,0.652174,0.0,0.790831,52497.0,0.451112,1.362853,0.114675,0.411942,-0.123212,0.269618,7.895254
42,32.582565,944.169983,0.591018,0.60713,0.272727,0.0,0.786807,52696.0,0.485638,1.492954,0.119364,0.472704,-0.136708,0.282646,7.95916
43,34.745171,993.51001,0.571457,0.60922,0.166667,0.0,0.782667,47836.0,0.505137,1.527504,0.127936,0.480164,-0.136213,0.274445,8.051014
44,35.131622,996.929993,0.578233,0.609647,0.166667,0.0,0.778376,49950.0,0.500896,1.509124,0.122841,0.478745,-0.137384,0.285728,8.083896
45,31.993635,985.640015,0.553881,0.593948,0.416667,0.0,0.773539,48779.0,0.504762,1.490063,0.123919,0.492373,-0.139433,0.269336,8.15056
46,34.66151,983.380005,0.555545,0.589487,0.25,0.0,0.770217,48263.0,0.497746,1.483634,0.124935,0.484224,-0.138615,0.281508,8.200877
47,38.055984,992.960022,0.572914,0.603852,0.166667,0.0,0.765131,49349.0,0.479684,1.495987,0.125698,0.468602,-0.133272,0.302873,8.205165
48,36.582661,986.840027,0.595094,0.620595,0.083333,0.0,0.759844,51312.0,0.476768,1.506778,0.124133,0.465802,-0.132687,0.297707,8.234554
49,37.474911,990.469971,0.604825,0.622679,0.166667,0.0,0.755208,51292.0,0.480616,1.514494,0.122511,0.481762,-0.13697,0.292938,8.22581
50,41.520233,994.869995,0.628166,0.662508,0.041667,0.0,0.751788,44909.0,0.462096,1.534152,0.121779,0.468186,-0.131445,0.320522,8.206869
51,38.774929,972.51001,0.60039,0.616959,0.166667,0.0,0.747341,44700.0,0.444927,1.470324,0.116889,0.458222,-0.130502,0.296497,8.243422
52,41.846752,983.140015,0.641627,0.664159,0.166667,0.0,0.744666,43175.0,0.437489,1.491691,0.117047,0.455525,-0.126482,0.316698,8.213737
53,42.008743,998.22998,0.655682,0.672988,0.043478,0.0,0.74076,47933.0,0.457453,1.540882,0.127205,0.489749,-0.138372,0.335775,8.231861
