iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-1.144252,19.35,0.00806,0.008266,1.791667,58.666668,0.976024,59466.0,0.0086,0.020068,0.000727,0.005204,-0.001839,0.002224,11.405586,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005814,-5.8e-05,-4.8e-05,0.0,-0.012412,-0.006252,0.0,-0.040122,-0.002532,-0.000347,0.009161,-0.004754,-0.001184,-0.002855,-0.001681,0.010606,0.002939,-0.013953,-1.9e-05,-3.7e-05,58.0,7.166667,0.053603,0.129544,0.280443
1,-2.050942,42.580002,0.021951,0.019447,17.125,0.083333,0.947462,110583.0,0.023309,0.057614,0.003862,0.015262,-0.004629,0.00644,10.648346,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.016147,-0.000164,-0.000226,0.0,-0.027917,-0.014423,0.0,-0.113514,-0.007012,-0.000883,0.022935,-0.013047,-0.003344,-0.007308,-0.003907,0.027867,0.008388,-0.038428,-0.000151,-0.000681,0.0,7.083333,0.034558,0.134987,0.605747
2,-2.892938,61.720001,0.03553,0.033967,15.791667,0.041667,0.918593,108512.0,0.038372,0.098369,0.006145,0.024069,-0.007263,0.009986,10.656862,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.026837,-0.000269,-0.000459,0.0,-0.028745,-0.022958,0.0,-0.181877,-0.011466,-0.001493,0.038056,-0.020365,-0.005627,-0.011794,-0.006216,0.04597,0.013671,-0.061415,-0.000428,-0.001746,0.0,6.458333,0.03249,0.125917,0.60839
3,-3.333681,80.519997,0.046593,0.047026,15.041667,0.0,0.888712,109041.0,0.051871,0.131778,0.007374,0.032089,-0.009258,0.01253,10.599002,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.036257,-0.00036,-0.00062,0.0,-0.028579,-0.0307,0.0,-0.236211,-0.015057,-0.00208,0.050894,-0.026245,-0.007445,-0.016492,-0.008381,0.060958,0.019452,-0.079831,-0.000804,-0.003214,0.0,5.875,0.031388,0.139215,0.625666
4,-3.462701,103.669998,0.059251,0.059458,13.125,0.0,0.860825,109833.0,0.060571,0.159666,0.009184,0.040414,-0.011301,0.017768,10.558468,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.044987,-0.00044,-0.000747,0.0,-0.027229,-0.038475,0.0,-0.278573,-0.018254,-0.002631,0.064414,-0.03098,-0.009072,-0.019922,-0.010327,0.07976,0.025122,-0.094425,-0.001371,-0.005579,0.0,6.25,0.031316,0.13551,0.604573
5,-3.278742,116.010002,0.06887,0.073527,12.5,0.0,0.834012,110259.0,0.07384,0.198731,0.011254,0.047679,-0.013636,0.021561,10.529761,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.054166,-0.000527,-0.000896,0.0,-0.026795,-0.045193,0.0,-0.323808,-0.021899,-0.003151,0.078123,-0.037654,-0.011013,-0.023979,-0.012321,0.095513,0.029385,-0.110015,-0.001932,-0.008043,0.0,6.166667,0.032032,0.142135,0.571201
6,-3.002693,132.110001,0.085372,0.089119,10.041667,0.0,0.806416,107465.0,0.085696,0.234082,0.012994,0.054683,-0.015194,0.02492,10.486242,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.064405,-0.000617,-0.000986,0.0,-0.025718,-0.051058,0.0,-0.367969,-0.02551,-0.003756,0.090844,-0.043639,-0.012851,-0.028088,-0.013908,0.114346,0.035524,-0.125211,-0.002971,-0.010612,0.0,5.75,0.029192,0.137798,0.559931
7,-2.969559,151.479996,0.089959,0.099585,8.916667,0.0,0.780308,99402.0,0.092883,0.257199,0.013589,0.058655,-0.016738,0.027316,10.423136,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.072271,-0.000698,-0.001264,0.0,-0.0266,-0.059371,0.0,-0.395216,-0.028012,-0.004168,0.10197,-0.046732,-0.013904,-0.030475,-0.016143,0.14034,0.042405,-0.135085,-0.003149,-0.012633,0.0,4.666667,0.030884,0.144154,0.587364
8,-2.696862,183.199997,0.109056,0.116937,6.833333,0.0,0.757274,92854.0,0.110949,0.297028,0.015837,0.072577,-0.019716,0.029852,10.390374,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.082883,-0.000789,-0.001462,0.0,-0.022609,-0.07022,0.0,-0.433933,-0.031524,-0.004799,0.121647,-0.052638,-0.016197,-0.035766,-0.01922,0.14024,0.049319,-0.148721,-0.00521,-0.020972,0.0,5.375,0.029475,0.136713,0.511017
9,-2.726511,202.830002,0.12322,0.139906,5.791667,0.0,0.736821,101079.0,0.125193,0.360116,0.018175,0.07706,-0.022177,0.033419,10.332823,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.098191,-0.000928,-0.001548,0.0,-0.022259,-0.077958,0.0,-0.495447,-0.036857,-0.005671,0.140251,-0.060757,-0.018941,-0.041725,-0.021336,0.182908,0.05772,-0.169943,-0.005664,-0.021932,0.0,4.833333,0.032337,0.134901,0.47519
