iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
40,18.624725,788.070007,0.522509,0.551795,0.894737,0.0,0.838388,56978.0,0.424008,1.29139,0.103695,0.402166,-0.114841,0.230233,7.810398
41,17.698633,827.52002,0.528657,0.586048,0.529412,0.0,0.837713,60062.0,0.495492,1.444604,0.114354,0.439716,-0.124754,0.249009,7.821266
42,18.964321,941.52002,0.63381,0.671844,0.380952,0.0,0.836597,52493.0,0.490519,1.5189,0.12026,0.482876,-0.134643,0.227112,7.874396
43,21.171505,979.72998,0.559817,0.611112,0.652174,0.0,0.835702,49794.0,0.4979,1.493429,0.120628,0.470108,-0.133131,0.270105,7.964108
44,22.731396,961.599976,0.589448,0.647605,0.541667,0.0,0.834923,49423.0,0.497139,1.534848,0.121889,0.473932,-0.131451,0.274435,8.063416
45,16.319796,990.47998,0.556193,0.618556,0.458333,0.0,0.834653,47499.0,0.507149,1.525963,0.126711,0.483764,-0.135292,0.281512,8.075041
46,19.707834,961.340027,0.576773,0.634511,0.666667,0.0,0.834881,49078.0,0.483303,1.513731,0.123866,0.470719,-0.13,0.284258,8.151111
47,19.681297,952.650024,0.5551,0.623954,0.458333,0.0,0.833866,48671.0,0.488185,1.500779,0.125513,0.473556,-0.130053,0.283733,8.222885
48,23.732977,965.169983,0.588879,0.642128,0.5,0.0,0.833055,48707.0,0.466221,1.504098,0.119043,0.458513,-0.12643,0.29417,8.24703
49,20.777298,963.72998,0.607555,0.660869,0.708333,0.0,0.830955,48749.0,0.471611,1.519325,0.120811,0.472752,-0.128086,0.286863,8.242023
50,22.871159,998.140015,0.687118,0.734893,0.25,0.0,0.828103,42949.0,0.470174,1.605088,0.121339,0.477109,-0.128701,0.317582,8.283272
51,24.69173,972.530029,0.669346,0.710646,0.166667,0.0,0.826436,43784.0,0.460988,1.588014,0.120604,0.481144,-0.13147,0.310127,8.264045
52,20.608713,937.460022,0.649746,0.694909,0.434783,0.0,0.824943,43372.0,0.43111,1.527575,0.113313,0.466314,-0.124631,0.29147,8.274466
53,20.251457,942.0,0.617889,0.660217,0.347826,0.0,0.823736,45924.0,0.438873,1.486801,0.118488,0.462321,-0.125359,0.290378,8.306628
54,19.794104,950.460022,0.682386,0.726266,0.304348,0.0,0.820782,44657.0,0.442135,1.584062,0.121419,0.465654,-0.127209,0.362988,8.264899
55,21.348169,974.919983,0.702504,0.738385,0.130435,0.0,0.817561,45685.0,0.458672,1.603939,0.12267,0.523364,-0.140393,0.330612,8.28035
56,21.701105,985.200012,0.668656,0.725156,0.086957,0.0,0.815594,44836.0,0.446472,1.61842,0.122844,0.479208,-0.126835,0.316282,8.28614
57,23.353058,947.090027,0.664894,0.700537,0.304348,0.0,0.815573,32540.0,0.428982,1.544705,0.12246,0.481982,-0.130705,0.340492,8.257565
58,21.799011,919.900024,0.693788,0.72825,0.304348,0.0,0.815161,30764.0,0.395786,1.514575,0.107089,0.469607,-0.126167,0.342178,8.267517
59,17.845419,957.450012,0.710948,0.760609,0.142857,0.0,0.817086,32941.0,0.42167,1.596266,0.117354,0.47049,-0.123125,0.349909,8.262424
60,21.11808,973.48999,0.738597,0.774912,0.142857,0.0,0.816832,35770.0,0.419801,1.640383,0.119102,0.484201,-0.127732,0.341417,8.284119
61,23.48238,933.409973,0.703217,0.743893,0.304348,0.0,0.817205,50405.0,0.386341,1.554264,0.114507,0.440943,-0.113153,0.342702,8.31196
62,23.522932,928.090027,0.743095,0.781338,0.190476,0.0,0.81827,53657.0,0.387284,1.580907,0.113539,0.445026,-0.115097,0.351805,8.308681
63,21.956175,959.580017,0.829903,0.852464,0.052632,0.0,0.817527,55562.0,0.391088,1.716721,0.120925,0.475747,-0.125332,0.41597,8.332575
64,26.114929,965.289978,0.762981,0.793413,0.15,0.0,0.817983,55509.0,0.413473,1.663898,0.118071,0.450003,-0.118216,0.366535,8.288515
65,24.729513,975.880005,0.78451,0.824802,0.1,0.0,0.817578,55792.0,0.390782,1.652477,0.111937,0.502539,-0.128416,0.393291,8.336027
66,20.947279,964.98999,0.707932,0.748142,0.222222,0.0,0.817054,59403.0,0.375408,1.554701,0.10618,0.470081,-0.11948,0.319664,8.299309
67,17.847719,945.75,0.785757,0.825137,0.238095,0.0,0.817769,49437.0,0.367965,1.610748,0.115037,0.486567,-0.123439,0.361654,8.317621
68,20.831045,943.98999,0.794916,0.832337,0.263158,0.0,0.819001,55878.0,0.369225,1.642451,0.11642,0.446224,-0.113664,0.434237,8.299293
69,22.888855,936.609985,0.795717,0.823188,0.35,0.0,0.819932,54804.0,0.365632,1.629717,0.109429,0.489912,-0.125871,0.416374,8.314882
70,23.221575,925.950012,0.79341,0.817423,0.35,0.0,0.82161,55963.0,0.365624,1.574289,0.114049,0.465917,-0.121275,0.405381,8.310148
71,22.073952,952.059998,0.838996,0.86763,0.15,0.0,0.821693,55409.0,0.365506,1.681118,0.111403,0.460009,-0.117605,0.430107,8.344183
72,19.213316,950.369995,0.824706,0.852708,0.315789,0.0,0.820459,54952.0,0.360546,1.652718,0.110991,0.471327,-0.120111,0.394628,8.353616
73,17.816118,941.039978,0.776671,0.807557,0.333333,0.0,0.819286,53702.0,0.344364,1.558103,0.108267,0.450117,-0.114197,0.363487,8.354984
74,15.808386,955.119995,0.867843,0.890579,0.086957,0.0,0.819386,51415.0,0.363048,1.689452,0.111851,0.501962,-0.129441,0.471104,8.378735
75,18.559843,957.01001,0.850169,0.879998,0.136364,0.0,0.819665,45352.0,0.356603,1.695158,0.105188,0.464611,-0.116871,0.405202,8.35343
76,22.081076,956.289978,0.801657,0.8383,0.388889,0.0,0.820731,52754.0,0.34264,1.61975,0.104276,0.434383,-0.106501,0.42875,8.345869
