iteration,distance_mm,distance_mm_sd,distance_mm_worst,speed_mms,speed_mms_sd,speed_mms_worst,drift_mm,drift_mm_sd,drift_mm_worst,upright_min,upright_min_worst,height_mm,fell,fall_rate,foot_force_p99_n,foot_force_p99_n_sd,foot_force_p99_n_worst,joint_acc_rms,joint_acc_rms_worst,power_mean_w,cost_of_transport,track_mae_mms,track_mae_mms_sd,track_mae_mms_worst,top_speed_mms,top_speed_mms_worst,n_trials,grid,video
baseline,742.5,61.1,675.4,61.9,5.1,56.3,89.1,38.7,132.4,0.983,0.976,166.1,0,0.0,27.2,4.12,30.74,62.7,70.72,7.512,7.66,11.9,6.0,23.7,61.9,56.3,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/baseline_phase2.mp4
0,416.1,118.9,270.8,34.7,9.9,22.6,370.7,166.8,573.2,0.987,0.981,166.6,0,0.0,27.22,4.05,30.79,62.75,71.11,7.444,14.54,22.1,21.0,59.3,33.1,20.7,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/iter_0000.mp4
50,477.5,107.0,296.9,39.8,8.9,24.7,250.2,143.2,419.4,0.989,0.987,166.6,0,0.0,28.13,4.23,32.05,67.36,77.28,7.724,12.88,17.9,17.6,57.5,41.3,22.5,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/iter_0050.mp4
100,424.9,25.4,397.6,35.4,2.1,33.1,248.5,96.2,356.8,0.992,0.988,167.6,0,0.0,28.05,4.1,31.74,68.61,76.79,7.755,13.78,24.3,19.7,54.4,30.0,25.6,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/iter_0100.mp4
150,314.9,33.3,280.2,26.2,2.8,23.3,93.3,107.5,234.6,0.993,0.991,167.5,0,0.0,27.82,4.5,32.1,67.66,76.03,7.488,18.05,29.2,21.4,59.2,24.4,20.8,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/iter_0150.mp4
200,264.7,67.4,185.6,22.1,5.6,15.5,48.0,33.3,95.2,0.993,0.99,167.8,0,0.0,27.81,4.99,33.37,66.99,76.33,7.347,21.99,32.1,21.7,61.4,21.9,18.6,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/iter_0200.mp4
250,195.6,67.6,101.0,16.3,5.6,8.4,73.2,42.7,104.9,0.993,0.991,167.9,0,0.0,27.65,4.8,32.47,66.06,74.74,7.123,30.97,35.9,24.6,66.8,15.5,13.2,15,3c x 5s x 1d,progress/runs/2026-08-01_20-14-14/videos/iter_0250.mp4
