iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
0,-1.90929,18.889999,0.007821,0.007559,3.695652,38.086956,0.97995,32294.0,0.008129,0.025675,0.000692,0.005391,-0.003454,0.002529,35.594952,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.005538,-5.8e-05,-0.000208,-0.019807,-0.027808,-0.038678,-0.004786,-0.000343,0.008405,-0.007771,-0.003524,-0.010058,-0.001568,0.006579,0.002302,-0.013512,-5.3e-05,-0.000103,37.826088,0.0,4.26087,0.099628,0.131611,0.369041
1,-3.002923,40.209999,0.021136,0.017856,24.625,0.666667,0.956217,14080.0,0.021007,0.065089,0.003869,0.014545,-0.004749,0.007545,22.274267,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.015352,-0.00016,-0.00047,-0.035362,-0.029021,-0.108082,-0.007263,-0.000798,0.021554,-0.016538,-0.006719,-0.007874,-0.003321,0.01622,0.00695,-0.036737,-0.000199,-0.000926,1.083333,0.0,3.375,0.035772,0.150399,0.694665
2,-3.573193,54.599998,0.032617,0.031406,20.791668,0.5,0.930231,764.0,0.031136,0.103414,0.005541,0.022715,-0.006903,0.011852,21.811417,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.02524,-0.00026,-0.0006,-0.03465,-0.043661,-0.171951,-0.011392,-0.001358,0.034835,-0.023328,-0.009165,-0.012108,-0.005394,0.028976,0.011677,-0.058205,-0.000464,-0.001792,1.291667,0.0,3.416667,0.036468,0.165537,0.684547
3,-4.179979,71.879997,0.041853,0.04081,19.083334,0.458333,0.90888,3456.0,0.038704,0.130879,0.007314,0.029691,-0.008846,0.015707,21.677109,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.032485,-0.00033,-0.000827,-0.034578,-0.055702,-0.214228,-0.013947,-0.001706,0.045943,-0.027176,-0.010541,-0.01498,-0.007191,0.038796,0.016537,-0.072478,-0.00083,-0.002575,1.083333,0.0,3.25,0.035626,0.159583,0.671751
4,-4.306114,80.580002,0.049835,0.05092,18.041668,0.125,0.883041,3429.0,0.045877,0.158875,0.008761,0.036292,-0.01054,0.01877,21.26454,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.039678,-0.000401,-0.000933,-0.033498,-0.066674,-0.250623,-0.016642,-0.002108,0.056205,-0.032606,-0.01239,-0.018187,-0.008658,0.047893,0.020184,-0.085064,-0.001376,-0.005263,0.625,0.0,3.625,0.034167,0.15688,0.672099
5,-4.804293,103.599998,0.059695,0.062037,14.541667,0.291667,0.855554,3738.0,0.053938,0.184441,0.010172,0.040988,-0.012013,0.021014,21.116934,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.046475,-0.000466,-0.001102,-0.034221,-0.076182,-0.282242,-0.019031,-0.002486,0.066038,-0.037095,-0.013717,-0.020915,-0.010026,0.053126,0.02336,-0.095964,-0.00185,-0.005597,0.458333,0.0,2.666667,0.03566,0.152318,0.677182
6,-4.993711,124.949997,0.070028,0.075023,16.416668,0.25,0.830278,3762.0,0.062983,0.21908,0.011772,0.048846,-0.014039,0.025852,20.783106,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.055463,-0.000551,-0.001232,-0.03277,-0.08904,-0.322983,-0.022351,-0.002986,0.078987,-0.041836,-0.015789,-0.025222,-0.011907,0.067916,0.029096,-0.11,-0.002701,-0.007544,0.5,0.0,3.458333,0.034121,0.156523,0.652029
7,-4.884119,123.870003,0.075549,0.079229,15.0,0.25,0.806808,3370.0,0.065913,0.225601,0.012214,0.052451,-0.014465,0.028671,20.639057,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.058234,-0.000576,-0.001247,-0.034999,-0.089805,-0.323876,-0.023154,-0.003066,0.082385,-0.043726,-0.015937,-0.025745,-0.011919,0.069778,0.031572,-0.110788,-0.00305,-0.011376,0.416667,0.0,2.166667,0.033283,0.155266,0.702619
8,-4.32334,127.32,0.082174,0.088659,16.291668,0.25,0.782894,3391.0,0.074242,0.259672,0.014183,0.058263,-0.016272,0.030829,20.360851,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.065738,-0.000642,-0.001409,-0.035947,-0.101411,-0.350751,-0.025454,-0.003449,0.094645,-0.048868,-0.017335,-0.028519,-0.013772,0.078529,0.034354,-0.120192,-0.003982,-0.012322,0.375,0.0,1.916667,0.033378,0.153402,0.708982
9,-4.037727,145.110001,0.088373,0.094833,12.5,0.083333,0.762105,3412.0,0.078277,0.268971,0.014907,0.059553,-0.016601,0.032893,20.145926,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.07039,-0.000678,-0.001454,-0.034705,-0.103577,-0.359633,-0.026151,-0.003663,0.098976,-0.050651,-0.017374,-0.029764,-0.014413,0.084946,0.039147,-0.123362,-0.004755,-0.015419,0.083333,0.0,2.0,0.034178,0.155926,0.682342
10,-4.624846,165.320007,0.095215,0.106956,14.875,0.083333,0.743799,3366.0,0.087218,0.302689,0.0162,0.069458,-0.018768,0.035823,20.156506,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.078238,-0.000762,-0.001725,-0.035748,-0.120424,-0.385502,-0.028943,-0.004029,0.112802,-0.053406,-0.019695,-0.032541,-0.016834,0.09395,0.043995,-0.13261,-0.00524,-0.017514,0.291667,0.0,1.791667,0.033501,0.168114,0.704908
11,-3.764457,178.360001,0.103838,0.11143,14.458334,0.0,0.725027,3395.0,0.086886,0.309053,0.01734,0.066564,-0.018872,0.036612,20.066639,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.081415,-0.000779,-0.001674,-0.03593,-0.117808,-0.382131,-0.029181,-0.00412,0.115747,-0.054677,-0.020006,-0.032731,-0.01666,0.109589,0.04918,-0.131914,-0.005962,-0.018237,0.291667,0.0,1.666667,0.030165,0.165016,0.690474
12,-3.121878,177.160004,0.110979,0.119661,14.625,0.208333,0.712129,3074.0,0.096203,0.330406,0.017944,0.070715,-0.019635,0.038317,19.879467,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.088134,-0.000835,-0.001685,-0.035952,-0.123336,-0.398365,-0.030761,-0.004409,0.123622,-0.057944,-0.021363,-0.035287,-0.017647,0.111874,0.05381,-0.137695,-0.006629,-0.023438,0.25,0.0,1.583333,0.033001,0.14888,0.686492
