iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
86,52.104652,1000.0,-0.023385,0.0,0.0,0.481695,97974.0
87,52.156055,1000.0,-0.024005,0.0,0.0,0.477554,94248.0
88,52.437103,1000.0,-0.023459,0.0,0.0,0.473368,97185.0
89,53.358624,1000.0,-0.023281,0.0,0.0,0.47073,98187.0
90,53.195637,1000.0,-0.022876,0.0,0.0,0.466221,98778.0
91,53.539482,1000.0,-0.023482,0.0,0.0,0.463085,98708.0
92,53.983078,1000.0,-0.022721,0.041667,0.0,0.458609,96380.0
93,54.066784,1000.0,-0.022457,0.0,0.0,0.453522,97371.0
94,54.607838,1000.0,-0.022857,0.0,0.0,0.449646,92762.0
95,54.830818,1000.0,-0.022788,0.0,0.0,0.446016,98575.0
96,55.476768,1000.0,-0.022704,0.0,0.0,0.442273,98342.0
97,55.381977,1000.0,-0.024324,0.0,0.0,0.436481,98408.0
98,55.267311,1000.0,-0.024124,0.0,0.0,0.431676,96568.0
99,55.929684,1000.0,-0.022447,0.0,0.0,0.427635,97997.0
100,56.246147,1000.0,-0.022212,0.0,0.0,0.423143,84612.0
101,55.831085,992.700012,-0.022172,0.041667,0.0,0.419942,87833.0
102,56.113907,993.809998,-0.022291,0.043478,0.0,0.416196,93381.0
103,57.001751,1000.0,-0.021881,0.083333,0.0,0.412104,88455.0
104,57.032661,998.190002,-0.022249,0.041667,0.0,0.409028,88933.0
105,57.598511,1000.0,-0.021562,0.0,0.0,0.406213,7180.0
106,57.625591,1000.0,-0.021614,0.0,0.0,0.403738,67088.0
107,57.687469,1000.0,-0.022521,0.0,0.0,0.400066,80030.0
108,58.180656,1000.0,-0.020951,0.0,0.0,0.396573,92802.0
109,58.725487,1000.0,-0.020467,0.0,0.0,0.392835,89675.0
110,58.759132,1000.0,-0.021154,0.0,0.0,0.389309,84634.0
111,58.920437,1000.0,-0.021344,0.0,0.0,0.385628,97200.0
112,58.893459,994.359985,-0.020654,0.041667,0.0,0.383275,89935.0
113,59.160282,1000.0,-0.021006,0.0,0.0,0.380444,96333.0
114,59.323765,1000.0,-0.022195,0.0,0.0,0.37772,98575.0
115,59.804604,1000.0,-0.020958,0.0,0.0,0.374669,96634.0
116,59.937469,1000.0,-0.020998,0.0,0.0,0.371688,95311.0
117,60.318863,1000.0,-0.020323,0.0,0.0,0.368631,97958.0
118,60.414368,1000.0,-0.020052,0.0,0.0,0.365518,95618.0
119,60.410915,994.650024,-0.020374,0.041667,0.0,0.362426,97224.0
120,61.026878,1000.0,-0.020322,0.0,0.0,0.35972,98806.0
121,61.132881,1000.0,-0.01965,0.0,0.0,0.357333,102623.0
122,61.371555,1000.0,-0.019254,0.0,0.0,0.354141,97613.0
123,61.80302,1000.0,-0.019506,0.0,0.0,0.351664,94726.0
124,61.745636,1000.0,-0.01959,0.0,0.0,0.347568,88815.0
125,61.757336,1000.0,-0.019917,0.0,0.0,0.345213,89196.0
126,62.248863,1000.0,-0.019514,0.0,0.0,0.343098,90935.0
127,62.187428,1000.0,-0.01928,0.0,0.0,0.339682,88279.0
128,62.654278,1000.0,-0.019852,0.083333,0.0,0.33691,83979.0
129,62.633953,1000.0,-0.019215,0.0,0.0,0.334254,83306.0
130,62.90218,1000.0,-0.019192,0.0,0.0,0.331385,82431.0
131,63.002396,1000.0,-0.018803,0.0,0.0,0.327631,91169.0
132,63.143654,1000.0,-0.019044,0.041667,0.0,0.325985,91982.0
133,63.335178,1000.0,-0.018924,0.0,0.0,0.324194,91462.0
134,63.446438,1000.0,-0.018802,0.0,0.0,0.322067,91299.0
135,63.647232,1000.0,-0.018466,0.0,0.0,0.31953,82676.0
136,63.970657,1000.0,-0.018393,0.0,0.0,0.317262,89686.0
137,63.966278,1000.0,-0.018671,0.0,0.0,0.314887,96293.0
138,64.187881,1000.0,-0.018347,0.0,0.0,0.313408,97099.0
139,64.464272,1000.0,-0.018193,0.0,0.0,0.311498,96446.0
140,64.20665,1000.0,-0.018197,0.0,0.0,0.308595,96170.0
141,64.649582,1000.0,-0.018235,0.0,0.0,0.30688,97096.0
142,64.780403,1000.0,-0.018104,0.0,0.0,0.303437,90958.0
143,65.003082,1000.0,-0.017768,0.0,0.0,0.301956,98042.0
144,65.090218,1000.0,-0.017507,0.0,0.0,0.300482,94867.0
145,65.321655,1000.0,-0.017792,0.0,0.0,0.298409,96197.0
146,64.628113,991.580017,-0.017999,0.041667,0.0,0.296493,95062.0
147,65.34034,1000.0,-0.017304,0.0,0.0,0.294224,95478.0
148,65.605003,1000.0,-0.017097,0.0,0.0,0.292754,91219.0
149,65.532173,1000.0,-0.017453,0.0,0.0,0.291466,94622.0
150,65.729599,1000.0,-0.017562,0.0,0.0,0.288774,93414.0
