iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
77,44.169544,500.0,1.977192,-0.004724,0.0,0.0,0.467892,96507.0
78,44.282291,500.0,1.97692,-0.004628,0.0,0.0,0.459704,96821.0
79,44.373093,500.0,1.978179,-0.004491,0.0,0.0,0.453843,97672.0
80,44.482639,500.0,1.978539,-0.004265,0.0,0.0,0.446441,96954.0
81,44.596352,500.0,1.979963,-0.004208,0.0,0.0,0.440207,101010.0
82,44.72279,500.0,1.980385,-0.004072,0.0,0.0,0.435149,99328.0
83,44.875237,500.0,1.981158,-0.003842,0.0,0.0,0.429062,97115.0
84,44.967232,500.0,1.981588,-0.003812,0.0,0.0,0.423433,98410.0
85,45.065514,500.0,1.982103,-0.003681,0.0,0.0,0.416752,78162.0
86,45.206448,500.0,1.982842,-0.003521,0.0,0.0,0.410761,116693.0
87,45.331959,500.0,1.983553,-0.003414,0.0,0.0,0.404411,113357.0
88,45.429329,500.0,1.983885,-0.003298,0.0,0.0,0.397294,116597.0
89,45.522118,500.0,1.984538,-0.003157,0.0,0.0,0.390342,105945.0
90,45.597145,500.0,1.984907,-0.003099,0.0,0.0,0.384397,114879.0
91,45.686222,500.0,1.985569,-0.002983,0.0,0.0,0.377708,107476.0
92,45.795895,500.0,1.985875,-0.002903,0.0,0.0,0.37095,118465.0
93,45.819107,500.0,1.986009,-0.002826,0.0,0.0,0.365577,113193.0
94,45.945839,500.0,1.986752,-0.002741,0.0,0.0,0.359587,116337.0
95,46.036953,500.0,1.986922,-0.002603,0.0,0.0,0.354045,112602.0
96,46.129875,500.0,1.987791,-0.002462,0.0,0.0,0.348555,113044.0
97,46.219864,500.0,1.987833,-0.002436,0.0,0.0,0.342857,115737.0
98,46.283188,500.0,1.98798,-0.002354,0.0,0.0,0.337331,113062.0
99,46.384693,500.0,1.988443,-0.002254,0.0,0.0,0.331172,108739.0
100,46.482941,500.0,1.988943,-0.002211,0.0,0.0,0.325289,100335.0
101,46.563721,500.0,1.989297,-0.002171,0.0,0.0,0.318931,99071.0
102,46.656933,500.0,1.989742,-0.002063,0.0,0.0,0.312141,99342.0
103,46.698223,500.0,1.990127,-0.00203,0.0,0.0,0.307142,91485.0
104,46.813141,500.0,1.990217,-0.001989,0.0,0.0,0.302006,98437.0
105,46.898037,500.0,1.990719,-0.001899,0.0,0.0,0.296107,98823.0
106,47.001949,500.0,1.990693,-0.001842,0.0,0.0,0.290188,101097.0
107,47.052204,500.0,1.990887,-0.001797,0.0,0.0,0.284516,99339.0
108,47.128056,500.0,1.991229,-0.001731,0.0,0.0,0.279395,102989.0
109,47.209637,500.0,1.991488,-0.001672,0.0,0.0,0.274467,94446.0
110,47.290398,500.0,1.991671,-0.001612,0.0,0.0,0.269775,75368.0
111,47.357147,500.0,1.992082,-0.00157,0.0,0.0,0.264369,106204.0
112,47.418655,500.0,1.992249,-0.001521,0.0,0.0,0.258815,110854.0
113,47.496746,500.0,1.992589,-0.001458,0.0,0.0,0.25427,108691.0
114,47.559273,500.0,1.992744,-0.001403,0.0,0.0,0.250237,112260.0
115,47.617996,500.0,1.993074,-0.001364,0.0,0.0,0.246203,113117.0
116,47.685993,500.0,1.993186,-0.001309,0.0,0.0,0.242205,110914.0
