iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
68,53.089256,985.099976,0.827227,0.849744,0.055556,0.0,0.704647,55291.0,0.368851
69,53.954754,968.059998,0.811397,0.831272,0.166667,0.0,0.703628,55197.0,0.33717
70,55.557064,964.929993,0.895236,0.908266,0.05,0.0,0.702487,51867.0,0.350758
71,55.936813,965.549988,0.878716,0.890331,0.047619,0.0,0.701598,46947.0,0.352986
72,58.10313,987.169983,0.871139,0.885653,0.05,0.0,0.70072,52209.0,0.364836
73,59.353535,990.299988,0.894335,0.904562,0.0,0.0,0.699285,51416.0,0.350698
74,58.456844,996.119995,0.89999,0.901082,0.0,0.0,0.698789,56846.0,0.355497
75,60.017948,985.929993,0.8644,0.883002,0.117647,0.0,0.697456,52000.0,0.332809
76,60.434978,985.200012,0.89571,0.912224,0.052632,0.0,0.69672,49318.0,0.333039
77,59.484379,983.570007,0.901062,0.924828,0.071429,0.0,0.696205,55936.0,0.33035
78,60.744434,985.27002,0.893848,0.917811,0.117647,0.0,0.694743,48290.0,0.327635
79,59.246632,987.97998,0.90038,0.915496,0.047619,0.0,0.693163,47657.0,0.33148
80,60.545345,978.679993,0.891782,0.911519,0.125,0.0,0.691089,53949.0,0.327782
81,61.541462,988.799988,0.91921,0.940635,0.0,0.0,0.689888,52789.0,0.327951
82,60.319286,976.75,0.8817,0.895482,0.2,0.0,0.689023,54724.0,0.324136
83,58.365612,985.280029,0.913606,0.935109,0.045455,0.0,0.687988,45261.0,0.327038
84,63.180103,1000.0,0.9211,0.943394,0.0,0.0,0.687142,38569.0,0.324569
85,64.912926,1000.0,0.919807,0.939679,0.0,0.0,0.686784,37817.0,0.330039
86,62.493256,998.409973,0.918598,0.941835,0.083333,0.0,0.685541,46330.0,0.326266
87,62.544708,991.719971,0.916109,0.937015,0.041667,0.0,0.684181,47418.0,0.322542
88,66.084732,997.98999,0.919106,0.940384,0.125,0.0,0.683206,46466.0,0.321645
89,63.53833,1000.0,0.919566,0.942954,0.041667,0.0,0.681709,46740.0,0.319255
90,65.805801,994.650024,0.91807,0.942071,0.041667,0.0,0.680648,41572.0,0.315894
91,64.949173,1000.0,0.922914,0.94248,0.0,0.0,0.679075,45594.0,0.316986
92,65.733719,999.090027,0.922085,0.945626,0.041667,0.0,0.677082,45659.0,0.315344
93,65.305283,1000.0,0.9275,0.949032,0.0,0.0,0.675677,45971.0,0.31706
94,64.786583,985.109985,0.905074,0.929583,0.083333,0.0,0.673774,46768.0,0.311745
95,65.409866,991.47998,0.919387,0.943619,0.041667,0.0,0.67217,46569.0,0.315471
96,62.652298,992.299988,0.91931,0.942778,0.041667,0.0,0.66927,47582.0,0.319372
